symbol,signal_ts,entry_ts,exit_ts,direction,entry_px,exit_px,stop_px,target_px,risk_per_share,r,ret_pct,bars_held,reason
META,2021-01-04 10:30:00,2021-01-04 10:45:00,2021-01-04 10:45:00,1,270.84254999999996,269.98,269.98,272.56764999999984,0.862549999999942,-1.0,-0.318469162249411,0,stop
GOOGL,2021-01-04 10:30:00,2021-01-04 10:45:00,2021-01-04 10:55:00,1,1745.50005,1739.97,1739.97,1756.5601500000002,5.530050000000074,-1.0,-0.31681752171820754,2,stop
AAPL,2021-01-04 10:50:00,2021-01-04 10:55:00,2021-01-04 10:55:00,-1,130.93,131.03,131.03,130.73000000000002,0.09999999999999432,-1.0,-0.07637668983425823,0,stop
SPY,2021-01-05 10:35:00,2021-01-05 10:50:00,2021-01-05 14:00:00,-1,369.505,370.92,370.92,366.67499999999995,1.4150000000000205,-1.0,-0.38294475040933695,38,stop
NVDA,2021-01-05 10:45:00,2021-01-05 10:50:00,2021-01-05 15:55:00,-1,533.9438,536.24,537.74,526.3514,3.796199999999999,-0.6048680259206574,-0.4300452594449077,61,flatten
AMZN,2021-01-05 10:45:00,2021-01-05 10:50:00,2021-01-05 14:05:00,-1,3194.2866000000004,3217.5,3217.5,3147.859800000001,23.213399999999638,-1.0,-0.726716256456125,39,stop
MSFT,2021-01-05 11:10:00,2021-01-05 11:25:00,2021-01-05 11:45:00,-1,216.69,217.48,217.48,215.11,0.789999999999992,-1.0,-0.3645761225714117,4,stop
AMD,2021-01-05 11:20:00,2021-01-05 11:25:00,2021-01-05 15:45:00,-1,92.055,92.7199,92.7199,90.72520000000003,0.6648999999999887,-1.0,-0.7222855901363192,52,stop
META,2021-01-05 12:00:00,2021-01-05 12:05:00,2021-01-05 15:55:00,-1,271.44280000000003,270.97,272.4,269.52840000000015,0.9571999999999434,0.49394066025912503,0.17418034296728682,46,flatten
QQQ,2021-01-05 11:30:00,2021-01-05 12:10:00,2021-01-05 14:05:00,1,309.9975,311.5125,309.24,311.5125,0.7574999999999932,2.0,0.4887136186582106,23,target
GOOGL,2021-01-05 12:20:00,2021-01-05 12:35:00,2021-01-05 13:45:00,-1,1731.925,1737.09,1736.43,1722.9149999999997,4.505000000000109,-1.1465038845726612,-0.2982230754795943,14,stop
META,2021-01-06 10:30:00,2021-01-06 10:35:00,2021-01-06 15:55:00,1,266.36,263.24,262.9,273.2800000000001,3.4600000000000364,-0.9017341040462346,-1.1713470491064741,64,flatten
NVDA,2021-01-06 10:40:00,2021-01-06 10:45:00,2021-01-06 14:20:00,1,524.12,518.5,518.5,535.36,5.6200000000000045,-1.0,-1.0722735251469138,43,stop
AMZN,2021-01-06 10:45:00,2021-01-06 10:50:00,2021-01-06 11:35:00,1,3190.805,3178.06,3178.06,3216.2949999999996,12.74499999999989,-1.0,-0.3994289842218466,9,stop
AMD,2021-01-06 11:00:00,2021-01-06 11:05:00,2021-01-06 11:30:00,-1,90.94,91.49,91.49,89.84,0.5499999999999972,-1.0,-0.6047943699142261,5,stop
MSFT,2021-01-06 11:00:00,2021-01-06 11:05:00,2021-01-06 11:05:00,-1,215.395,215.58,215.58,215.025,0.18500000000000227,-1.0,-0.08588871607976149,0,stop
QQQ,2021-01-06 11:40:00,2021-01-06 12:00:00,2021-01-06 12:05:00,-1,311.01750000000004,311.66,311.66,309.7325000000001,0.6424999999999841,-1.0,-0.20658001559397268,1,stop
SPY,2021-01-06 11:35:00,2021-01-06 12:05:00,2021-01-06 12:35:00,-1,375.83000000000004,376.16,376.16,375.1700000000001,0.3299999999999841,-1.0,-0.0878056568129165,6,stop
MSFT,2021-01-07 10:30:00,2021-01-07 10:40:00,2021-01-07 10:55:00,-1,217.255,218.1,218.1,215.565,0.8449999999999989,-1.0,-0.3889438678051133,3,stop
GOOGL,2021-01-07 10:30:00,2021-01-07 10:40:00,2021-01-07 13:30:00,-1,1761.23,1771.5,1771.5,1740.69,10.269999999999982,-1.0,-0.5831152092571659,34,stop
IWM,2021-01-07 10:35:00,2021-01-07 10:40:00,2021-01-07 11:50:00,1,207.825,206.82,206.82,209.83499999999998,1.0049999999999955,-1.0,-0.48357993504149915,14,stop
NVDA,2021-01-07 10:40:00,2021-01-07 10:45:00,2021-01-07 11:45:00,1,526.5550000000001,531.3650000000002,524.15,531.3650000000002,2.4050000000000864,2.0,0.9134848211488207,12,target
AAPL,2021-01-07 11:00:00,2021-01-07 11:15:00,2021-01-07 15:55:00,1,130.39499999999998,130.85,127.86,135.46499999999995,2.5349999999999824,0.17948717948718568,0.3489397599601308,56,flatten
QQQ,2021-01-07 11:15:00,2021-01-07 11:20:00,2021-01-07 11:35:00,-1,314.09000000000003,314.7,314.7,312.8700000000001,0.6099999999999568,-1.0,-0.19421185010664355,3,stop
SPY,2021-01-07 11:15:00,2021-01-07 11:20:00,2021-01-07 15:50:00,-1,379.095,379.86,379.86,377.56500000000005,0.7649999999999864,-1.0,-0.20179638349226087,54,stop
META,2021-01-07 11:05:00,2021-01-07 11:20:00,2021-01-07 11:45:00,-1,268.77495,270.18,270.18,265.96484999999996,1.405050000000017,-1.0,-0.5227607706745057,5,stop
AMZN,2021-01-07 11:15:00,2021-01-07 11:20:00,2021-01-07 15:55:00,-1,3186.6099999999997,3161.41,3208.542,3142.745999999999,21.932000000000244,1.1490060186029336,0.7908090415833698,55,flatten
AMD,2021-01-07 11:25:00,2021-01-07 11:50:00,2021-01-07 15:55:00,1,94.8476,95.1,93.42,97.7028,1.4275999999999982,0.17680022415241994,0.26611110876816535,49,flatten
MSFT,2021-01-08 10:30:00,2021-01-08 10:35:00,2021-01-08 15:45:00,-1,218.64249999999998,219.96,219.96,216.00749999999994,1.3175000000000239,-1.0,-0.6025818402186327,62,stop
SPY,2021-01-08 10:30:00,2021-01-08 10:35:00,2021-01-08 15:45:00,-1,379.695,381.04,381.04,377.00499999999994,1.3450000000000273,-1.0,-0.3542316859584739,62,stop
QQQ,2021-01-08 10:30:00,2021-01-08 10:35:00,2021-01-08 11:05:00,-1,316.67665,318.19,318.19,313.64995,1.5133500000000026,-1.0,-0.477884934048659,6,stop
