equity0,risk_pct,win_rate,rr,trades,cost_R,p_down_50pct,median_final,p05_final,p95_final,p_below_start,mean_worst_dd_pct
2000,10.0,0.5,1.5,252,0.0,0.18135,152585.78262940265,6303.6888419837505,3693459.757334789,0.0146,68.35192923917971
5000,4.0,0.5,1.5,252,0.0,0.0069,45048.92072523591,12423.219875335253,163355.8190930613,0.0028,34.98548273906194
10000,2.0,0.5,1.5,252,0.0,5e-05,32506.922069828684,17022.7967180109,62075.58017396041,0.0018,19.004959532607497
25000,0.8,0.5,1.5,252,0.0,0.0,40846.540099708385,31510.86688212346,52948.07801887587,0.00115,7.98761171588508
30000,0.6666666666666667,0.5,1.5,252,0.0,0.0,45246.556244730025,36445.40600959259,56173.08396752865,0.00115,6.692810466598933
5000,10.0,0.5,1.5,252,0.0,0.18135,381464.45657350664,15759.222104959377,9233649.39333697,0.0146,68.35192923917973
5000,5.0,0.5,1.5,252,0.0,0.02025,70731.15768895332,14181.024257799794,352788.104517056,0.00365,41.958764625807085
5000,2.0,0.5,1.5,252,0.0,5e-05,16253.461034914342,8511.39835900545,31037.790086980203,0.0018,19.004959532607497
5000,1.0,0.5,1.5,252,0.0,0.0,9198.68711615084,6651.58013409231,12721.164438378428,0.00115,9.902835078636024
5000,0.5,0.5,1.5,252,0.0,0.0,6816.400266471845,5795.213253798118,8017.532842696668,0.00115,5.053927820442429
5000,10.0,0.5,1.0,252,0.05,0.95675,393.41550347966347,28.58692091149732,5414.2157827116,0.9419,93.61676149638947
5000,2.0,0.5,1.0,252,0.05,0.1626,3694.3356966647984,2195.0628400558885,6217.642607126585,0.8276,40.290533326589724
5000,1.0,0.5,1.0,252,0.05,0.0005,4352.686153920326,3355.679944587602,5645.912919999315,0.79235,22.572874795062617
