round_trip_bps,n,mean_pct,total_pct,win_rate,t,p,spec
0,1421,0.23807040293815018,338.2980425751114,0.42294159042927515,3.9840385671876657,6.775386935231609e-05,TSLA|OR5|touch|or|eod|long_short
1,1421,0.2280704029381502,324.08804257511144,0.42294159042927515,3.8166914917839794,0.00013525311235706994,TSLA|OR5|touch|or|eod|long_short
2,1421,0.21807040293815022,309.87804257511146,0.422237860661506,3.6493444163802935,0.0002629104151665729,TSLA|OR5|touch|or|eod|long_short
3,1421,0.20807040293815024,295.6680425751115,0.4215341308937368,3.481997340976607,0.0004976886341734321,TSLA|OR5|touch|or|eod|long_short
5,1421,0.1880704029381502,267.2480425751114,0.42083040112596765,3.147303190169233,0.0016478399704629165,TSLA|OR5|touch|or|eod|long_short
8,1421,0.15807040293815017,224.6180425751114,0.4180154820548909,2.6452619639581734,0.008162769570659645,TSLA|OR5|touch|or|eod|long_short
10,1421,0.13807040293815018,196.1980425751114,0.414496833216045,2.3105678131508003,0.020856738817289777,TSLA|OR5|touch|or|eod|long_short
20,1421,0.03807040293815019,54.09804257511142,0.39971850809289233,0.637097059113935,0.5240616240569111,TSLA|OR5|touch|or|eod|long_short
0,1421,0.21092437589384394,299.72353814515225,0.42646023926812104,3.8396628038406204,0.00012320340799476526,TSLA|OR5|touch|or|3R|long_short
1,1421,0.20092437589384396,285.51353814515227,0.42646023926812104,3.6576230188433154,0.0002545650883520878,TSLA|OR5|touch|or|3R|long_short
2,1421,0.19092437589384398,271.3035381451523,0.4257565095003519,3.4755832338460104,0.0005097437826613316,TSLA|OR5|touch|or|3R|long_short
3,1421,0.180924375893844,257.0935381451523,0.4250527797325827,3.293543448848705,0.000989330497785268,TSLA|OR5|touch|or|3R|long_short
5,1421,0.16092437589384398,228.6735381451523,0.4243490499648135,2.9294638788540937,0.0033954727454637013,TSLA|OR5|touch|or|3R|long_short
8,1421,0.13092437589384393,186.0435381451522,0.4215341308937368,2.383344523862176,0.017156129748063798,TSLA|OR5|touch|or|3R|long_short
10,1421,0.11092437589384394,157.62353814515222,0.4180154820548909,2.019264953867565,0.04345968840282133,TSLA|OR5|touch|or|3R|long_short
