n_is,mean_pct_is,std_pct_is,median_pct_is,win_rate_is,mean_R_is,t_is,p_is,breakeven_bps_is,mean_risk_pct_is,trades_per_yr_is,symbol,n_min,entry_rule,stop,target,direction_mode,window_is,n_oos,mean_pct_oos,std_pct_oos,median_pct_oos,win_rate_oos,mean_R_oos,t_oos,p_oos,breakeven_bps_oos,mean_risk_pct_oos,trades_per_yr_oos,window_oos
404,-0.030030650807788942,0.4734593444539377,-0.25836192929098795,0.48267326732673266,-0.03293574321955986,-1.2748900575092763,0.202348158698471,-3.003065080778894,0.47037357026299403,71.31996133397777,NVDA,5,close,atr10,1R,long_only,is_2021_2024M05,287,-0.059061129584325786,0.656856296266722,-0.2525463197327166,0.4529616724738676,-0.08849204176725398,-1.5232540099551262,0.12769516831458372,-5.906112958432579,0.6354005962337523,50.66541807636539,oos_2024M06_2026M09
436,-0.0009581270295962488,0.47865424133073897,0.24840361001091943,0.5114678899082569,0.03134597101571398,-0.04179693398577831,0.966660579203759,-0.09581270295962488,0.47042804662859233,76.96906718221364,NVDA,5,close,atr10,1R,short_only,is_2021_2024M05,274,-0.0345654093468067,0.5965843810813504,-0.22283787371661434,0.4927007299270073,-0.00535752669092756,-0.959058517642521,0.3375292664757532,-3.45654093468067,0.5448650400178933,48.37046882551957,oos_2024M06_2026M09
840,-0.014940626561012743,0.4761011043383566,-0.23909238521383033,0.4976190476190476,0.0004295275025584678,-0.909513741290927,0.36307900773279944,-1.4940626561012744,0.4704018460908521,148.2890285161914,NVDA,5,close,atr10,1R,long_short,is_2021_2024M05,561,-0.047097087970992046,0.6277026623720485,-0.24050678288610036,0.47237076648841353,-0.047888018360991165,-1.7771394811288148,0.07554529369558627,-4.709708797099204,0.591181804071283,99.03588690188496,oos_2024M06_2026M09
404,-0.01934460577833064,0.6334121223412181,-0.3128922447263267,0.33663366336633666,-0.004972318152218012,-0.6138527355405129,0.5393126453902046,-1.9344605778330641,0.47037357026299403,71.31996133397777,NVDA,5,close,atr10,2R,long_only,is_2021_2024M05,287,-0.07355718796601163,0.756520308286733,-0.3026337098870332,0.29965156794425085,-0.1051113152481438,-1.6471967459064687,0.09951761247306257,-7.355718796601163,0.6354005962337523,50.66541807636539,oos_2024M06_2026M09
436,0.043083503161210214,0.6773975406493936,-0.3061445737125716,0.37844036697247707,0.1437312921166314,1.3280384161106975,0.1841654162322981,4.308350316121022,0.47042804662859233,76.96906718221364,NVDA,5,close,atr10,2R,short_only,is_2021_2024M05,274,-0.025180856949630567,0.7300314815830116,-0.3028436082617084,0.33211678832116787,0.0019417433820651405,-0.5709580472229103,0.5680280813688048,-2.5180856949630566,0.5448650400178933,48.37046882551957,oos_2024M06_2026M09
840,0.013058555528383423,0.656962861858396,-0.3115608556541571,0.35833333333333334,0.07221193670161336,0.5760948111664422,0.5645510985024762,1.3058555528383424,0.4704018460908521,148.2890285161914,NVDA,5,close,atr10,2R,long_short,is_2021_2024M05,561,-0.049929532531985926,0.7434315538104564,-0.3026337098870332,0.3155080213903743,-0.05282515113998472,-1.5907353801258761,0.11166914105718151,-4.992953253198593,0.591181804071283,99.03588690188496,oos_2024M06_2026M09
404,-0.011536347527338035,0.7531573631116941,-0.33378443663088386,0.2698019801980198,0.04353239180459009,-0.3078741932303964,0.7581780634343591,-1.1536347527338036,0.47037357026299403,71.31996133397777,NVDA,5,close,atr10,3R,long_only,is_2021_2024M05,287,-0.09351832274990621,0.8339067614247061,-0.3176775586271887,0.21602787456445993,-0.17262222026738513,-1.8998537147267656,0.05745231955482977,-9.35183227499062,0.6354005962337523,50.66541807636539,oos_2024M06_2026M09
436,0.05518612669990255,0.8306851696403449,-0.33013715130875865,0.2981651376146789,0.18143921097799987,1.3871924017519424,0.16538310176028315,5.5186126699902545,0.47042804662859233,76.96906718221364,NVDA,5,close,atr10,3R,short_only,is_2021_2024M05,274,-0.03942281101088412,0.8246923862271996,-0.31934801254654815,0.24817518248175183,-0.039552995633505644,-0.791281267282678,0.4287798773256184,-3.9422811010884122,0.5448650400178933,48.37046882551957,oos_2024M06_2026M09
840,0.02309579385727731,0.7945734821328976,-0.3319031551138766,0.2845238095238095,0.11511259794697899,0.8424390130405943,0.39954226336964993,2.3095793857277314,0.4704018460908521,148.2890285161914,NVDA,5,close,atr10,3R,long_short,is_2021_2024M05,561,-0.06709734197184551,0.8291204699086075,-0.3182305941845698,0.23172905525846701,-0.10762940823586467,-1.9167660536724012,0.055267659373961164,-6.709734197184551,0.591181804071283,99.03588690188496,oos_2024M06_2026M09
404,0.11440719391121412,1.3511335846781942,-0.35894684383515774,0.19801980198019803,0.3912082195172641,1.7019458061106654,0.08876552788611125,11.440719391121412,0.47037357026299403,71.31996133397777,NVDA,5,close,atr10,eod,long_only,is_2021_2024M05,287,-0.08155202765024139,1.117174030609146,-0.329273890666301,0.156794425087108,-0.13868749498212202,-1.236673003170703,0.2162085052075875,-8.15520276502414,0.6354005962337523,50.66541807636539,oos_2024M06_2026M09
