symbol,period,n_days,breakeven_rt_bps
SPY,full,8460,4.010645720822532
SPY,2021_2026,1428,3.2765091267836035
SPY,last3y,753,5.670672474936062
SPY,pre2015,5521,4.228847294753728
QQQ,full,6918,5.558129995031362
QQQ,2021_2026,1428,4.179653910946465
QQQ,last3y,753,7.915764282395099
QQQ,pre2015,3979,5.973811946107481
IWM,full,6610,5.32567168218502
IWM,2021_2026,1428,5.342150062347281
IWM,last3y,753,7.158908882199345
IWM,pre2015,3671,5.280726287832219
RSP,full,5877,4.73213069824376
RSP,2021_2026,1428,3.976345379964108
RSP,last3y,753,5.6787683313402875
RSP,pre2015,2938,6.080833814630399
DIA,full,7204,3.0315774294050293
DIA,2021_2026,1428,2.182619098718507
DIA,last3y,753,3.6927160906803858
DIA,pre2015,4265,2.8372845546240515
MDY,full,7889,5.447137444521147
MDY,2021_2026,1428,2.9253897197028196
MDY,last3y,753,4.568477005076866
MDY,pre2015,4950,6.922974684649204
XLK,full,6970,6.048672217689224
XLK,2021_2026,1428,4.526711123016465
XLK,last3y,753,9.503783373274402
XLK,pre2015,4031,6.99693205942142
XLF,full,6970,4.130574043810321
XLF,2021_2026,1428,3.0807740139313875
XLF,last3y,753,3.4435398640306665
XLF,pre2015,4031,4.745984145327449
