symbol,period,n_days,round_trips_per_yr,round_trip_cost_bps,gross_mean_bps,net_mean_bps,net_ann_ret_geom_pct,net_sharpe,net_t,net_p
SPY,full,8460,252,0,4.010645720822532,4.010645720822532,10.01202789855134,0.9550785523017932,5.5338069387915025,3.1335387618014465e-08
SPY,full,8460,252,1,4.010645720822532,3.0106457208225317,7.275191800499223,0.7169426961868535,4.154027391059077,3.266740448681915e-05
SPY,full,8460,252,2,4.010645720822532,2.010645720822532,4.606178153064817,0.4788068400719137,2.77424784332665,0.005532950821471427
SPY,full,8460,252,3,4.010645720822532,1.01064572082253,2.0033127562126603,0.2406709839569735,1.394468295594222,0.16317623699623907
SPY,full,8460,252,5,4.010645720822532,-0.989354279177472,-3.0104652618858094,-0.2356007282729064,-1.3650907998706328,0.17222451328912358
SPY,full,8460,252,8,4.010645720822532,-3.98935427917747,-10.074561597713965,-0.9500082966177252,-5.504429443067909,3.703657514009251e-08
SPY,full,8460,252,10,4.010645720822532,-5.989354279177472,-14.496830841650663,-1.426280008847605,-8.263988538532763,0.0
SPY,full,8460,252,20,4.010645720822532,-15.989354279177473,-33.56228832696683,-3.807638569997003,-22.061784015857025,0.0
SPY,2021_2026,1428,252,0,3.2765091267836035,3.2765091267836035,8.070208092645496,0.8303692437493394,1.97667417449972,0.04807847181555913
SPY,2021_2026,1428,252,1,3.2765091267836035,2.276509126783605,5.38149973864484,0.5769381646287165,1.3733875367969506,0.16963190222047686
SPY,2021_2026,1428,252,2,3.2765091267836035,1.276509126783605,2.7594256306378013,0.32350708550809343,0.7701008990941803,0.4412400427261365
SPY,2021_2026,1428,252,3,3.2765091267836035,0.27650912678360134,0.20234078919244636,0.0700760063874693,0.16681426139140787,0.8675161969538638
SPY,2021_2026,1428,252,5,3.2765091267836035,-1.7234908732164005,-4.723239749198123,-0.4367861518537775,-1.0397590140141337,0.29845187533754713
SPY,2021_2026,1428,252,8,3.2765091267836035,-4.723490873216398,-11.663041965579495,-1.1970793892156464,-2.849618927122443,0.004377163805100892
SPY,2021_2026,1428,252,10,3.2765091267836035,-6.723490873216402,-16.007481944246795,-1.703941547456894,-4.056192202527986,4.987921883614632e-05
SPY,2021_2026,1428,252,20,3.2765091267836035,-16.723490873216402,-34.73721352980655,-4.238252338663126,-10.089058579555688,0.0
SPY,last3y,753,252,0,5.670672474936062,5.670672474936062,14.829768092292936,1.4933837221073645,2.581479204755775,0.00983779181242328
SPY,last3y,753,252,1,5.670672474936062,4.6706724749360635,11.973569917560827,1.2300315837661,2.1262458587697894,0.03348279350200278
SPY,last3y,753,252,2,5.670672474936062,3.6706724749360626,9.188139961436901,0.9666794454248351,1.6710125127838036,0.0947192063028961
SPY,last3y,753,252,3,5.670672474936062,2.670672474936061,6.4717316081496685,0.7033273070835696,1.2157791667978168,0.2240690570045878
SPY,last3y,753,252,5,5.670672474936062,0.6706724749360589,1.2392068938502148,0.17662303040103947,0.30531247482584434,0.7601281757105856
SPY,last3y,753,252,8,5.670672474936062,-2.32932752506394,-6.133170062255799,-0.6134333846227547,-1.0603875631321127,0.2889683178579858
SPY,last3y,753,252,10,5.670672474936062,-4.329327525063941,-10.74848004851704,-1.1401376613052847,-1.9708542551040846,0.048740548798367866
SPY,last3y,753,252,20,5.670672474936062,-14.329327525063945,-30.64668814745362,-3.773659044717934,-6.523187714963945,6.88284984562415e-11
SPY,pre2015,5521,252,0,4.228847294753728,4.228847294753728,10.670189955180016,1.0503353695224735,4.916279818817701,8.820429897582471e-07
SPY,pre2015,5521,252,1,4.228847294753728,3.2288472947537286,7.917049955627873,0.8019614519242879,3.753721921558844,0.0001742281410439528
SPY,pre2015,5521,252,2,4.228847294753728,2.2288472947537294,5.232134715379603,0.5535875343261023,2.591164024299988,0.009565188934328006
SPY,pre2015,5521,252,3,4.228847294753728,1.2288472947537274,2.6137601459207223,0.30521361672791586,1.4286061270411283,0.15311747213542937
