symbol,bucket,n_windows,n_quotes,median_bps,p90_bps,worst_window_bps,median_abs_spread,median_mid,half_spread_bps
AAPL,09:30-09:45,72,325129,1.5194055190433269,2.543159533596645,8.05234021137376,0.030000000000001137,179.37,0.7597027595216634
AAPL,09:45-10:30,48,185020,0.8927684666261368,1.4035793625492992,3.3292906232904413,0.01999999999998181,179.29250000000002,0.4463842333130684
AAPL,10:30-15:30,73,199907,0.7261900439359013,1.272426517369273,3.394145102418509,0.010000000000019327,175.675,0.3630950219679506
AAPL,15:30-16:00,75,340770,0.6647831145101762,1.1572065035011418,2.9268007141400396,0.009999999999990905,171.74,0.3323915572550881
AMD,09:30-09:45,70,199459,3.7053701036714854,5.839285818295411,16.43139890955223,0.040000000000020464,119.965,1.8526850518357427
AMD,09:45-10:30,48,123430,2.287309632613545,3.5257921741824,10.361927318481431,0.030000000000001137,118.68,1.1436548163067726
AMD,10:30-15:30,73,127564,1.8586784796010745,2.5639382090886507,9.88478731232733,0.020000000000010232,115.7175,0.9293392398005372
AMD,15:30-16:00,72,165664,1.330650001167442,2.264580007507652,11.727609669745483,0.01999999999998181,116.13250000000001,0.665325000583721
IWM,09:30-09:45,52,185663,0.6790713312465568,1.0835517108577783,1.7240883882647704,0.01999999999998181,199.5,0.3395356656232784
IWM,09:45-10:30,35,153014,0.5429323777718547,0.822436055597098,1.5062887555544968,0.009999999999990905,222.025,0.27146618888592733
IWM,10:30-15:30,66,212707,0.5464941615205945,0.880651118703571,1.1411617026138443,0.00999999999999801,197.20000000000002,0.27324708076029725
IWM,15:30-16:00,57,178322,0.5128599635879337,0.5775839662685711,1.1027790030883453,0.009999999999990905,201.5,0.25642998179396687
NVDA,09:30-09:45,4,3172,6.564269430360173,10.20690233594005,8.437631837997468,0.5150000000000432,801.8675000000001,3.2821347151800864
NVDA,09:45-10:30,13,13342,2.194546551818294,3.8567785594307122,5.759761742538202,0.03999999999999204,223.09,1.097273275909147
NVDA,10:30-15:30,46,71127,1.6668333245303475,2.2318333883356485,7.861673842638039,0.030000000000001137,192.03250000000003,0.8334166622651737
NVDA,15:30-16:00,22,28542,1.1035204993819452,1.8381375851269541,3.4007821799016957,0.02499999999999858,223.1825,0.5517602496909726
QQQ,09:30-09:45,4,6392,0.3724638946749007,0.5181666247728133,0.583685976945532,0.014999999999986358,392.065,0.18623194733745035
QQQ,09:45-10:30,3,5130,0.2909895098295602,0.5819536182960925,0.6884681583470502,0.010000000000047748,343.655,0.1454947549147801
QQQ,10:30-15:30,36,87488,0.26679552429766473,0.46695025896988185,1.0057832537098168,0.009999999999990905,413.48749999999995,0.13339776214883237
QQQ,15:30-16:00,14,27574,0.2551143892064468,0.2849007122209706,0.46371435195877136,0.009999999999990905,431.2125,0.1275571946032234
SPY,10:30-15:30,18,19241,0.22294307425739573,0.24743125062950488,0.33957010424771317,0.009999999999990905,482.105,0.11147153712869787
SPY,15:30-16:00,5,6142,0.21319006960636383,0.2223877775675426,0.2587522964278663,0.009999999999990905,469.145,0.10659503480318192
TSLA,10:30-15:30,6,4635,1.616471890381931,2.1356862891332424,2.0842017507295494,0.045000000000015916,287.38,0.8082359451909655
TSLA,15:30-16:00,1,655,1.5263680073269132,2.1369152102569844,1.5263680073269132,0.049999999999954525,327.565,0.7631840036634566
