label,n,mean_pct,median_pct,t_naive,p_naive,t_nw,p_nw,n_eff,hit_rate,quad,horizon_m,spec,archetype,preferred
IWO,116,1.438762001131177,2.8899409550646626,1.2819801197503389,0.1998496202072515,0.9054625680621132,0.3652203817273578,57.8677252520385,0.6120689655172413,Q1,3,lagged,D,True
XBI,109,3.5790665425274657,4.791291638150463,2.519239489398029,0.01176086331740489,1.8810959445236695,0.05995886858253452,60.77283294398438,0.6055045871559633,Q1,3,lagged,-,False
ARKK,44,3.0531598062680523,3.4404132883793404,0.841430954299588,0.4001065504323349,0.5638644532762298,0.5728463833408046,19.75900818439256,0.5909090909090909,Q1,3,lagged,-,False
QQQ,116,3.034828712711888,3.7135303606262715,2.9939258198135725,0.0027541289605379493,2.1055366036601115,0.03524462454559929,57.37220076558363,0.7068965517241379,Q1,3,lagged,C,False
IWF,116,2.0506101940224535,3.3359676323250875,2.274083429119814,0.02296097082275983,1.5660029016824002,0.11734793784745623,55.008566422867084,0.6637931034482759,Q1,3,lagged,-,False
SPY,116,1.744169999473267,3.1771627669342495,2.1101572819613184,0.03484481066717504,1.4465042925149552,0.14803580891974732,54.508946554175765,0.6724137931034483,Q1,3,lagged,B,False
IWD,116,1.352146311242421,3.01616729276859,1.5532410051723764,0.12036556842095925,1.0570520160732078,0.29048784866637645,53.724577942057586,0.6551724137931034,Q1,3,lagged,A,False
VTV,113,1.2695042348325134,2.779647121751694,1.4903481854480385,0.13613270889098383,1.0086674432233833,0.31313415054985083,51.760559702037,0.6637168141592921,Q1,3,lagged,-,False
SPLV,75,2.7093329795304086,2.9822374309028676,4.102806627556448,4.0816837823420826e-05,3.103371683646122,0.0019132918348638839,42.9108139904964,0.7333333333333333,Q1,3,lagged,-,False
USMV,70,3.017897384624102,3.133985530781136,4.826824305706127,1.387274047637277e-06,3.7550350667323005,0.00017331721076407902,42.36459433765398,0.7428571428571429,Q1,3,lagged,-,False
IWO,37,3.6288918535899066,3.4815958691863047,3.3217270103021694,0.0008946217510263921,2.7813114213291716,0.005413977441794948,25.940186049314207,0.7297297297297297,Q2,3,lagged,D,False
XBI,22,6.270906190669172,7.1395547875508285,2.8949869817105145,0.0037917425744935507,2.455234661450364,0.014079264829548466,15.823970467167511,0.6818181818181818,Q2,3,lagged,-,False
ARKK,11,12.437959226474444,9.419928207359929,2.9976608712449773,0.002720602289719043,3.4968528133580326,0.00047078150402324326,14.968641684560616,0.7272727272727273,Q2,3,lagged,-,False
QQQ,37,4.110429435624633,3.4969520547182498,3.51774894574518,0.00043522390527384047,2.952046717863959,0.0031567516628214776,26.056644831049216,0.7297297297297297,Q2,3,lagged,C,False
IWF,37,3.3653524900745393,3.5859021405805658,4.358477302621803,1.3097050231891672e-05,3.804436961667007,0.0001421270996895263,28.191159027446858,0.8108108108108109,Q2,3,lagged,-,False
SPY,37,2.9564732020476816,2.807512911527854,4.715675571990881,2.4091004715565134e-06,4.439933245744434,8.998678582283759e-06,32.79946555813927,0.7567567567567568,Q2,3,lagged,B,True
IWD,37,2.727506233076469,2.7912150214785436,4.262567514877879,2.0209141171845246e-05,3.7395036513736843,0.00018438397000730689,28.476532508020664,0.7297297297297297,Q2,3,lagged,A,False
VTV,37,2.790127181494589,3.341372506029372,4.532526752476814,5.828229197479828e-06,4.122362557561797,3.750063621499322e-05,30.606476940238068,0.7837837837837838,Q2,3,lagged,-,False
SPLV,11,1.6174056147952924,1.8296625945616984,1.7607919378330863,0.07827362490689138,2.0101633203895117,0.04441390611806462,14.336372983241821,0.6363636363636364,Q2,3,lagged,-,False
USMV,11,2.399623230114861,2.58437070574975,2.623701112795926,0.008698007685176812,3.4095430230592103,0.0006507181335120293,18.57617595247637,0.8181818181818182,Q2,3,lagged,-,False
IWO,49,4.326093190051875,4.785167530401568,3.0599357781834264,0.002213844577857893,2.2625454162162812,0.023663726166301524,26.789590057787724,0.7346938775510204,Q3,3,lagged,D,False
XBI,44,4.033706096145511,5.397685274930919,1.845416959579113,0.06497690794734212,1.3108142981779491,0.18992051069735094,22.199643558325228,0.6818181818181818,Q3,3,lagged,-,False
ARKK,24,5.072812229974124,1.3037876696230688,1.216505459992479,0.22379243239767344,0.8821046567090605,0.3777202142274392,12.618953681109998,0.5416666666666666,Q3,3,lagged,-,False
QQQ,49,4.636887645977928,3.9281188622793284,3.804785492359851,0.0001419271317606441,2.8038354028417265,0.005049867782174422,26.609747666306713,0.6938775510204082,Q3,3,lagged,C,True
IWF,49,4.0598777535303014,2.942703091343901,3.537696227346243,0.0004036341392639198,2.566545682836867,0.010271709409212626,25.79009849598184,0.7142857142857143,Q3,3,lagged,-,False
SPY,49,4.234655704366449,4.140731837905265,4.577263608267569,4.7109766716513235e-06,3.3860794386009982,0.0007089885684579134,26.81504413983186,0.7551020408163265,Q3,3,lagged,B,False
IWD,49,4.5348243429424295,4.938455958731458,5.110649230424808,3.210535934883296e-07,3.9246085116916944,8.687089534209491e-05,28.895925872872652,0.8163265306122449,Q3,3,lagged,A,False
VTV,47,4.248057720943605,4.0143995829672985,4.7106538600682795,2.4692330384823435e-06,3.603482716365868,0.0003139816348221025,27.503018310228224,0.7872340425531915,Q3,3,lagged,-,False
SPLV,34,1.7587218203146675,1.4758301982757627,3.6075744725829284,0.00030907284055214923,3.149896547481147,0.0016332828660108323,25.92035155645118,0.7058823529411765,Q3,3,lagged,-,False
USMV,34,1.8009385862398655,1.3411392560411572,4.17126075189996,3.029189908021479e-05,3.6064646844933534,0.000310397080286684,25.416023680340174,0.7941176470588235,Q3,3,lagged,-,False
IWO,73,3.539838838079437,4.200773671532088,3.9422739751187255,8.071270105070028e-05,3.183725677513174,0.001453927281554579,47.61025793395829,0.726027397260274,Q4,3,lagged,D,False
XBI,70,2.986991433974861,3.464549031756159,2.155899950094616,0.031091478379287496,1.7454748380080762,0.08090224865200013,45.88471306965475,0.6142857142857143,Q4,3,lagged,-,False
ARKK,62,4.605749519943552,5.64637237100386,2.7302619275002535,0.00632840230878795,2.2252913933642686,0.026061682852011714,41.18668515541829,0.6774193548387096,Q4,3,lagged,-,False
QQQ,73,4.989878516931531,5.83901488947014,6.100516690577859,1.057261389547648e-09,5.084249462984498,3.6908258782553105e-07,50.70412863702763,0.821917808219178,Q4,3,lagged,C,False
IWF,73,4.623856325038091,4.786628848253405,6.54368952345224,6.001932284505074e-11,5.1987901979439455,2.0058977323600402e-07,46.076774784131146,0.8356164383561644,Q4,3,lagged,-,False
SPY,73,3.942766425428034,4.2784410592421995,6.596979428098751,4.1961989438732417e-11,5.358633426007478,8.385379790531999e-08,48.16601295400084,0.821917808219178,Q4,3,lagged,B,False
