quad,start,end,months
Q1,2003-08-29,2003-09-30,2
Q3,2003-10-31,2003-11-28,2
Q1,2003-12-31,2004-02-27,3
Q3,2004-03-31,2004-05-28,3
Q1,2004-06-30,2004-07-30,2
Q2,2004-08-31,2005-02-28,7
Q4,2005-03-31,2005-04-29,2
Q2,2005-05-31,2005-09-30,5
Q4,2005-10-31,2005-10-31,1
Q2,2005-11-30,2006-02-28,4
Q4,2006-03-31,2006-03-31,1
Q2,2006-04-28,2006-04-28,1
Q4,2006-05-31,2006-05-31,1
Q2,2006-06-30,2006-07-31,2
Q4,2006-08-31,2006-10-31,3
Q2,2006-11-30,2006-12-29,2
Q4,2007-01-31,2007-01-31,1
Q2,2007-02-28,2007-02-28,1
Q4,2007-03-30,2007-03-30,1
Q2,2007-04-30,2007-07-31,4
Q4,2007-08-31,2007-08-31,1
Q1,2007-09-28,2007-12-31,4
Q3,2008-01-31,2008-02-29,2
Q1,2008-03-31,2009-01-30,11
Q3,2009-02-27,2009-03-31,2
Q1,2009-04-30,2009-06-30,3
Q3,2009-07-31,2009-08-31,2
Q1,2009-09-30,2010-06-30,10
Q3,2010-07-30,2010-10-29,4
Q1,2010-11-30,2011-09-30,11
Q3,2011-10-31,2011-11-30,2
Q1,2011-12-30,2012-02-29,3
Q3,2012-03-30,2012-10-31,8
Q1,2012-11-30,2015-02-27,28
Q3,2015-03-31,2015-06-30,4
Q1,2015-07-31,2015-10-30,4
Q3,2015-11-30,2016-01-29,3
Q4,2016-02-29,2016-03-31,2
Q2,2016-04-29,2016-04-29,1
Q4,2016-05-31,2016-07-29,3
Q2,2016-08-31,2016-08-31,1
Q4,2016-09-30,2017-01-31,5
Q2,2017-02-28,2017-05-31,4
Q4,2017-06-30,2019-08-30,27
Q1,2019-09-30,2020-07-31,11
Q3,2020-08-31,2020-08-31,1
Q1,2020-09-30,2022-03-31,19
Q2,2022-04-29,2022-05-31,2
Q4,2022-06-30,2023-02-28,9
Q2,2023-03-31,2023-05-31,3
Q4,2023-06-30,2024-09-30,16
Q3,2024-10-31,2026-01-30,16
Q1,2026-02-27,2026-09-10,8
