horizon_m,quad,label,archetype,preferred,n,excess_pct,t_nw,p_nw
3,Q1,IWO,D,True,116,-1.2641329113252366,-0.7955624567235321,0.4262863953520828
3,Q1,QQQ,C,False,116,-0.7089486023215968,-0.49186210280972426,0.6228168305355932
3,Q1,SPY,B,False,116,-0.9554066988832309,-0.7923538940868698,0.42815435503541277
3,Q1,IWD,A,False,116,-1.0687005158956082,-0.8354658260820381,0.4034554804791224
3,Q2,IWO,D,False,37,0.9259969411334927,0.7097168977197936,0.47787971136984897
3,Q2,QQQ,C,False,37,0.36665212059114854,0.26332387069052793,0.7923009625814947
3,Q2,SPY,B,True,37,0.25689650369118383,0.3857986355716,0.6996458058797601
3,Q2,IWD,A,False,37,0.30665940593844015,0.42044045741424746,0.6741637181624798
3,Q3,IWO,D,False,49,1.6231982775954619,0.8489322030854672,0.39591901843372357
3,Q3,QQQ,C,True,49,0.8931103309444431,0.5400463750114424,0.5891650509543327
3,Q3,SPY,B,False,49,1.535079006009952,1.2274668406970335,0.21964717746168105
3,Q3,IWD,A,False,49,2.1139775158044003,1.8295161013155345,0.06732232947594197
3,Q4,IWO,D,False,73,0.8369439256230231,0.7527460962291692,0.4516025040948348
3,Q4,QQQ,C,False,73,1.2461012018980457,1.2696680580653519,0.20420289533984226
3,Q4,SPY,B,False,73,1.2431897270715357,1.6896253309328177,0.09109965662471797
3,Q4,IWD,A,True,73,0.7492002554100109,1.0199733693762059,0.3077410908606124
12,Q1,IWO,D,True,111,-2.5467406558943315,-0.43345749111564497,0.664682441792454
12,Q1,QQQ,C,False,111,-2.540495111348542,-0.4388990568369997,0.660734680168366
12,Q1,SPY,B,False,111,-2.1710313986450163,-0.48202612220492747,0.6297873896597421
12,Q1,IWD,A,False,111,-1.583863788969704,-0.3679628167664354,0.7129009599357696
12,Q2,IWO,D,False,37,-1.7121594932206723,-0.8753657725839437,0.3813749170349565
12,Q2,QQQ,C,False,37,-4.3685084473860805,-1.36520679036202,0.17218806475475112
12,Q2,SPY,B,True,37,-2.0536764371866143,-1.0057125421076205,0.31455386817864595
12,Q2,IWD,A,False,37,-1.544172001068787,-0.49395238107470857,0.6213398099613423
12,Q3,IWO,D,False,45,4.268404414923827,1.284875526575991,0.19883578435268934
12,Q3,QQQ,C,True,45,-0.9183215286247869,-0.27902223124544306,0.7802277639584032
12,Q3,SPY,B,False,45,2.5374702315263513,1.049957832447606,0.2937375003154079
12,Q3,IWD,A,False,45,5.880629532454827,2.380804883704939,0.017274859229005735
12,Q4,IWO,D,False,73,-0.562778340200553,-0.21427128320962907,0.8303355106579655
12,Q4,QQQ,C,False,73,5.7702458352732116,1.7774489570015044,0.07549440191551837
12,Q4,SPY,B,False,73,3.1225672285884025,1.4237758495391468,0.15451136883345518
12,Q4,IWD,A,True,73,-1.0466182043225478,-0.5080810276957525,0.6113965198771436
