label,n_lag,mean_pct_lag,median_pct_lag,t_naive_lag,p_naive_lag,t_nw_lag,p_nw_lag,n_eff_lag,hit_rate_lag,quad,horizon_m,spec_lag,archetype_lag,preferred_lag,n_nolag,mean_pct_nolag,median_pct_nolag,t_naive_nolag,p_naive_nolag,t_nw_nolag,p_nw_nolag,n_eff_nolag,hit_rate_nolag,spec_nolag,archetype_nolag,preferred_nolag
IWO,116,1.438762001131177,2.8899409550646626,1.2819801197503389,0.1998496202072515,0.9054625680621132,0.3652203817273578,57.8677252520385,0.6120689655172413,Q1,3,lagged,D,True,117,0.9347763034741909,2.5490888862717,0.8499944765658946,0.39532815711499536,0.5986762441043962,0.5493888017520043,58.0413767365836,0.5897435897435898,nolag,D,True
QQQ,116,3.034828712711888,3.7135303606262715,2.9939258198135725,0.0027541289605379493,2.1055366036601115,0.03524462454559929,57.37220076558363,0.7068965517241379,Q1,3,lagged,C,False,117,2.8638865462261465,3.3885542779995337,2.944583876449132,0.0032338927819268726,2.0649366302065046,0.03892899663190663,57.53756241872421,0.7008547008547008,nolag,C,False
SPY,116,1.744169999473267,3.1771627669342495,2.1101572819613184,0.03484481066717504,1.4465042925149552,0.14803580891974732,54.508946554175765,0.6724137931034483,Q1,3,lagged,B,False,117,1.6580551794043619,2.9354262153298727,2.1007034153221595,0.03566700933940181,1.4544889876159826,0.14581078442267215,56.08894271262041,0.6752136752136753,nolag,B,False
IWD,116,1.352146311242421,3.01616729276859,1.5532410051723764,0.12036556842095925,1.0570520160732078,0.29048784866637645,53.724577942057586,0.6551724137931034,Q1,3,lagged,A,False,117,1.2862589624721719,2.5710907790396753,1.5413132781416494,0.1232405587979688,1.0608442602296138,0.2887606840567314,55.425201929155605,0.6752136752136753,nolag,A,False
IWO,37,3.6288918535899066,3.4815958691863047,3.3217270103021694,0.0008946217510263921,2.7813114213291716,0.005413977441794948,25.940186049314207,0.7297297297297297,Q2,3,lagged,D,False,38,3.9883580713131077,4.247648348307886,3.064823678289041,0.002177983581527876,2.7315441559727467,0.006303829310357223,30.184852556925883,0.7631578947368421,nolag,D,False
QQQ,37,4.110429435624633,3.4969520547182498,3.51774894574518,0.00043522390527384047,2.952046717863959,0.0031567516628214776,26.056644831049216,0.7297297297297297,Q2,3,lagged,C,False,38,3.352667414521705,3.795672227566549,2.626033688247345,0.008638626713818542,2.2922011134849374,0.02189404073681578,28.952658552859653,0.7368421052631579,nolag,C,False
SPY,37,2.9564732020476816,2.807512911527854,4.715675571990881,2.4091004715565134e-06,4.439933245744434,8.998678582283759e-06,32.79946555813927,0.7567567567567568,Q2,3,lagged,B,True,38,3.161539725209118,3.0397422314013434,4.1343396536746,3.559766862060165e-05,4.011108342649448,6.043436727987128e-05,35.76844633682405,0.8157894736842105,nolag,B,True
IWD,37,2.727506233076469,2.7912150214785436,4.262567514877879,2.0209141171845246e-05,3.7395036513736843,0.00018438397000730689,28.476532508020664,0.7297297297297297,Q2,3,lagged,A,False,38,3.478943536684418,4.016234826055742,4.896688553330504,9.746512616981562e-07,4.519890210106128,6.187170922489216e-06,32.37683586920989,0.8157894736842105,nolag,A,False
IWO,49,4.326093190051875,4.785167530401568,3.0599357781834264,0.002213844577857893,2.2625454162162812,0.023663726166301524,26.789590057787724,0.7346938775510204,Q3,3,lagged,D,False,49,6.058602587461219,6.236784515599836,4.601504693443387,4.194497041698497e-06,3.454309168726273,0.0005517045092782169,27.61332802662382,0.8163265306122449,nolag,D,False
QQQ,49,4.636887645977928,3.9281188622793284,3.804785492359851,0.0001419271317606441,2.8038354028417265,0.005049867782174422,26.609747666306713,0.6938775510204082,Q3,3,lagged,C,True,49,5.904905862072433,5.3013021953934425,4.822490468571055,1.4177680649485325e-06,3.841747396583658,0.00012216152245381195,31.09645880765088,0.7346938775510204,nolag,C,True
