date,rate_dir,bs_dir,quad,walcl,walcl_chg,ff,ff_chg
2002-01-31,,,,,,,
2002-02-28,,,,,,,
2002-03-28,,,,,,,
2002-04-30,,,,,,,
2002-05-31,,,,,,,
2002-06-28,,,,,,,
2002-07-31,,,,,,,
2002-08-30,,,,,,,
2002-09-30,,,,,,,
2002-10-31,,,,,,,
2002-11-29,,,,,,,
2002-12-31,,,,,,,
2003-01-31,,,,,,,
2003-02-28,,,,,,,
2003-03-31,,QE,,729923.0,10381.0,1.26,-0.08000000000000007
2003-04-30,,QT,,732222.0,-3731.0,1.25,0.010000000000000009
2003-05-30,,QE,,734699.0,4299.0,1.26,0.020000000000000018
2003-06-30,,QE,,735926.0,6003.0,1.26,0.0
2003-07-31,,QE,,745665.0,13443.0,1.22,-0.030000000000000027
2003-08-29,falling,QE,Q1,750825.0,16126.0,1.01,-0.25
2003-09-30,falling,QE,Q1,743939.0,8013.0,1.03,-0.22999999999999998
2003-10-31,falling,QT,Q3,743578.0,-2087.0,1.01,-0.20999999999999996
2003-11-28,falling,QT,Q3,744521.0,-6304.0,1.01,0.0
2003-12-31,falling,QE,Q1,767012.0,25819.0,1.0,-0.030000000000000027
2004-01-30,falling,QE,Q1,775833.0,32255.0,0.98,-0.030000000000000027
2004-02-27,falling,QE,Q1,758759.0,14238.0,1.0,-0.010000000000000009
2004-03-31,falling,QT,Q3,751510.0,-15502.0,1.01,0.010000000000000009
2004-04-30,falling,QT,Q3,757984.0,-17849.0,1.0,0.020000000000000018
2004-05-28,falling,QT,Q3,756874.0,-1885.0,1.0,0.0
2004-06-30,falling,QE,Q1,775261.0,23751.0,1.0,-0.010000000000000009
2004-07-30,falling,QE,Q1,776764.0,18780.0,1.03,0.030000000000000027
2004-08-31,rising,QE,Q2,767595.0,10721.0,1.26,0.26
2004-09-30,rising,QE,Q2,782124.0,6863.0,1.43,0.42999999999999994
2004-10-29,rising,QE,Q2,784954.0,8190.0,1.61,0.5800000000000001
2004-11-30,rising,QE,Q2,794090.0,26495.0,1.76,0.5
2004-12-31,rising,QE,Q2,811333.0,29209.0,1.93,0.5
2005-01-31,rising,QE,Q2,806960.0,22006.0,2.16,0.55
2005-02-28,rising,QE,Q2,795606.0,1516.0,2.28,0.5199999999999998
2005-03-31,rising,QT,Q4,797094.0,-14239.0,2.5,0.5700000000000001
2005-04-29,rising,QT,Q4,801793.0,-5167.0,2.63,0.46999999999999975
2005-05-31,rising,QE,Q2,801546.0,5940.0,2.79,0.5100000000000002
2005-06-30,rising,QE,Q2,810429.0,13335.0,3.0,0.5
2005-07-29,rising,QE,Q2,816804.0,15011.0,3.04,0.41000000000000014
2005-08-31,rising,QE,Q2,811313.0,1153.0,3.26,0.46999999999999975
2005-09-30,rising,QE,Q2,812926.0,2497.0,3.5,0.5
2005-10-31,rising,QT,Q4,814281.0,-2523.0,3.62,0.5800000000000001
2005-11-30,rising,QE,Q2,833124.0,21811.0,3.78,0.52
2005-12-30,rising,QE,Q2,848317.0,35391.0,4.0,0.5
2006-01-31,rising,QE,Q2,836042.0,21761.0,4.16,0.54
2006-02-28,rising,QE,Q2,835240.0,11977.0,4.29,0.5100000000000002
2006-03-31,rising,QT,Q4,838003.0,-10314.0,4.49,0.4900000000000002
