date,rate_dir,bs_dir,quad,walcl,walcl_chg,ff,ff_chg
2002-01-31,,,,,,,
2002-02-28,,,,,,,
2002-03-28,,,,,,,
2002-04-30,,,,,,,
2002-05-31,,,,,,,
2002-06-28,,,,,,,
2002-07-31,,,,,,,
2002-08-30,,,,,,,
2002-09-30,,,,,,,
2002-10-31,,,,,,,
2002-11-29,,,,,,,
2002-12-31,,,,,,,
2003-01-31,,,,,,,
2003-02-28,,,,,,,
2003-03-31,,QT,,725019.0,-7040.0,1.25,0.010000000000000009
2003-04-30,,QE,,746294.0,33485.0,1.26,0.020000000000000018
2003-05-30,,QE,,744896.0,22916.0,1.26,0.0
2003-06-30,,QE,,744018.0,18999.0,1.22,-0.030000000000000027
2003-07-31,falling,QT,Q3,740295.0,-5999.0,1.01,-0.25
2003-08-29,falling,QT,Q3,740637.0,-4259.0,1.03,-0.22999999999999998
2003-09-30,falling,QT,Q3,741193.0,-2825.0,1.01,-0.20999999999999996
2003-10-31,falling,QE,Q1,747272.0,6977.0,1.01,0.0
2003-11-28,falling,QE,Q1,756964.0,16327.0,1.0,-0.030000000000000027
2003-12-31,falling,QE,Q1,771551.0,18396.0,0.98,-0.030000000000000027
2004-01-30,falling,QE,Q1,755279.0,8007.0,1.0,-0.010000000000000009
2004-02-27,falling,QT,Q3,750666.0,-6298.0,1.01,0.010000000000000009
2004-03-31,falling,QT,Q3,760725.0,-10826.0,1.0,0.020000000000000018
2004-04-30,falling,QE,Q1,772927.0,17648.0,1.0,0.0
2004-05-28,falling,QE,Q1,771108.0,20442.0,1.0,-0.010000000000000009
2004-06-30,falling,QE,Q1,779578.0,18853.0,1.03,0.030000000000000027
2004-07-30,rising,QE,Q2,773916.0,989.0,1.26,0.26
2004-08-31,rising,QE,Q2,775437.0,4329.0,1.43,0.42999999999999994
2004-09-30,rising,QE,Q2,786330.0,6752.0,1.61,0.5800000000000001
2004-10-29,rising,QE,Q2,791336.0,17420.0,1.76,0.5
2004-11-30,rising,QE,Q2,809956.0,34519.0,1.93,0.5
2004-12-31,rising,QE,Q2,810944.0,24614.0,2.16,0.55
2005-01-31,rising,QE,Q2,807262.0,15926.0,2.28,0.5199999999999998
2005-02-28,rising,QT,Q4,804576.0,-5380.0,2.5,0.5700000000000001
2005-03-31,rising,QT,Q4,807551.0,-3393.0,2.63,0.46999999999999975
2005-04-29,rising,QE,Q2,809797.0,2535.0,2.79,0.5100000000000002
2005-05-31,rising,QE,Q2,810160.0,5584.0,3.0,0.5
2005-06-30,rising,QE,Q2,810082.0,2531.0,3.04,0.41000000000000014
2005-07-29,rising,QE,Q2,814259.0,4462.0,3.26,0.46999999999999975
2005-08-31,rising,QE,Q2,823237.0,5902.0,3.5,0.5
2005-09-30,rising,QE,Q2,823771.0,13689.0,3.62,0.5800000000000001
2005-10-31,rising,QE,Q2,819105.0,4846.0,3.78,0.52
2005-11-30,rising,QE,Q2,835059.0,11822.0,4.0,0.5
2005-12-30,rising,QE,Q2,847700.0,23929.0,4.16,0.54
2006-01-31,rising,QE,Q2,828901.0,9796.0,4.29,0.5100000000000002
2006-02-28,rising,QE,Q2,840555.0,7431.0,4.49,0.4900000000000002
2006-03-31,rising,QT,Q4,833675.0,-14025.0,4.59,0.4299999999999997
