label,n,mean_pct,median_pct,t_naive,p_naive,t_nw,p_nw,n_eff,hit_rate,horizon_m,start,n_months_price
IWO,294,2.702894912456414,3.700624231180949,4.4345225531166435,9.227656002863682e-06,3.0571954999076167,0.0022341850811034014,139.73333284927963,0.6666666666666666,3,2002-01-31,297
XBI,245,3.733267991587176,4.756833548625017,4.330589641644218,1.4871059064169856e-05,3.1361255212214334,0.0017119591480165841,128.4869121831155,0.6285714285714286,3,2006-02-28,248
ARKK,141,4.811776927112711,4.762999858331307,3.087486152821358,0.002018571758928056,2.135457084389397,0.03272369210427284,67.45136947143207,0.6312056737588653,3,2014-10-31,144
QQQ,294,3.7437773150334848,4.211782282233456,6.584400781711335,4.567235478702969e-11,4.524279889710259,6.060148393771669e-06,138.80775917369618,0.7278911564625851,3,2002-01-31,297
IWF,294,2.980033812028367,3.7791760493161353,6.170949624365428,6.78810341270264e-10,4.200963311871281,2.6578166354873645e-05,136.25144148826558,0.7210884353741497,3,2002-01-31,297
SPY,294,2.6995766983564975,3.5605429503181796,6.2945235572610905,3.083453492536137e-10,4.297884812675556,1.7243572742575708e-05,137.06644457684294,0.7210884353741497,3,2002-01-31,297
IWD,294,2.420846827138029,3.504654684789865,5.508211696917971,3.6249731882875835e-08,3.7526096258563446,0.00017500326216124407,136.45607044202944,0.7074829931972789,3,2002-01-31,297
VTV,270,2.5998836038427804,3.3720967051238615,5.989685785820242,2.1024684215831257e-09,4.097063700191975,4.184237910420663e-05,126.32843509347724,0.7222222222222222,3,2004-01-30,273
SPLV,182,2.531076701711614,2.9550945786624983,7.136348219058811,9.583445148564351e-13,5.378394421386701,7.51530322418148e-08,103.37716473903511,0.7252747252747253,3,2011-05-31,185
USMV,177,2.8624643327917307,2.8403967713074074,8.516429391297793,0.0,6.474283741526772,9.526268662796156e-11,102.29198914621635,0.7796610169491526,3,2011-10-31,180
IWO,285,11.739901468187517,11.871646544087898,9.408011090551799,0.0,3.707423902260926,0.00020937830404332836,44.258196202122235,0.7508771929824561,12,2002-01-31,297
XBI,236,15.151059262354337,17.117296990889365,8.55871921363155,0.0,3.259217715131014,0.0011171989774374502,34.22324529098839,0.7076271186440678,12,2006-02-28,248
ARKK,132,24.314111588842295,20.246825515427936,5.762353262864895,8.294914977113876e-09,2.03397866779527,0.04195374631768489,16.446252741668044,0.7121212121212122,12,2014-10-31,144
QQQ,285,16.928110945996412,18.789155091327835,14.392345892181309,0.0,5.540043100028479,3.0239721393598984e-08,42.22872519495478,0.8666666666666667,12,2002-01-31,297
IWF,285,13.536814064992145,14.869865611381016,13.09102256334052,0.0,4.879649912330651,1.0627431685783506e-06,39.59816373087888,0.8596491228070176,12,2002-01-31,297
SPY,285,11.926531440897103,14.289743995786441,12.940986803730254,0.0,4.8448217685335,1.2672538709512793e-06,39.94529943201062,0.8456140350877193,12,2002-01-31,297
IWD,285,10.358708727780852,12.755259857549461,10.779105526552497,0.0,4.044163324417516,5.251030592612338e-05,40.11777011328729,0.7929824561403509,12,2002-01-31,297
VTV,261,10.71942276384438,12.698080559796153,11.256496362646917,0.0,4.14390277184294,3.414445552429868e-05,35.37147339606545,0.8237547892720306,12,2004-01-30,273
SPLV,173,10.485017917596537,10.412588028239789,16.36428962920739,0.0,6.892015318226752,5.5007109978078006e-12,30.686280912008314,0.861271676300578,12,2011-05-31,185
USMV,168,11.604380526051546,12.875814050959589,18.925226940020995,0.0,7.828498017318561,4.884981308350689e-15,28.74643423136858,0.9285714285714286,12,2011-10-31,180
