window,reading,start,end,plain,overlay,ratio
20y,a_loglin600,1980-01-31,1999-12-31,1699403.3747276403,1568430.8904193637,0.9229303140996368
20y,a_loglin600,2000-01-31,2019-12-31,692831.7318905769,747144.382693003,1.078392267995895
20y,b_logMA600,1980-01-31,1999-12-31,1699403.3747276403,1079597.5069863233,0.6352803125151779
20y,b_logMA600,2000-01-31,2019-12-31,692831.7318905769,480600.8800214828,0.6936761956760188
20y,c_loglin120,1980-01-31,1999-12-31,1699403.3747276403,1677466.3353006623,0.9870913287844366
20y,c_loglin120,2000-01-31,2019-12-31,692831.7318905769,690647.6077564827,0.9968475402705153
20y,d_LOOKAHEAD_fullsample,1980-01-31,1999-12-31,1699403.3747276403,1689046.1640866415,0.9939053842101151
20y,d_LOOKAHEAD_fullsample,2000-01-31,2019-12-31,692831.7318905769,758997.3701161867,1.0955002999719126
30y,a_loglin600,1980-01-31,2009-12-31,1660037.6009300689,1629164.9983023389,0.9814024678655272
30y,b_logMA600,1980-01-31,2009-12-31,1660037.6009300689,1194592.3386326698,0.7196176387591317
30y,c_loglin120,1980-01-31,2009-12-31,1660037.6009300689,1647439.795588346,0.9924111325341879
30y,d_LOOKAHEAD_fullsample,1980-01-31,2009-12-31,1660037.6009300689,1690572.7944753102,1.0183942782549826
