start,end,plain_terminal,ovl_terminal,plain_irr,ovl_irr,plain_dd,ovl_dd,ratio,beat,n_triggers,months_saving
1980-01-31,2009-12-31,1660037.6009300689,1671198.04340429,0.08868699227767807,0.08903874120262123,-0.5047912129058942,-0.4937116477180825,1.0067230058331018,True,1,133
1980-02-29,2010-01-31,1585511.9643311754,1596270.2116124853,0.08627047452106651,0.08662682531630561,-0.5047420830789898,-0.4935486521750275,1.006785346010207,True,1,133
1980-03-31,2010-02-28,1619408.7943438578,1630499.6719433875,0.08738451443589867,0.0877435456618676,-0.5046921478028037,-0.4933829391787633,1.0068487201244474,True,1,133
1980-04-30,2010-03-31,1698882.1186401462,1710640.2246487816,0.08990042718092939,0.09026182811182082,-0.5046355956140394,-0.49319521247425746,1.0069210840938434,True,1,133
1980-05-31,2010-04-30,1708238.7455133686,1720182.3954925064,0.09018823385571006,0.09055315378983786,-0.5045801661041898,-0.49301115570281706,1.0069917919907316,True,1,133
1980-06-30,2010-05-31,1556560.9346443266,1567549.5746691425,0.08529833365347206,0.08566961183270116,-0.5045264993010782,-0.4928328984642554,1.0070595630278534,True,1,133
1980-07-31,2010-06-30,1461016.8829113247,1471428.6465355952,0.08194479227815021,0.08232166301628463,-0.5044731940573164,-0.49265578990724657,1.0071263814580453,True,1,133
1980-08-31,2010-07-31,1549350.7672311277,1560490.9476762754,0.0850531707917972,0.08543144472731012,-0.5044221854171002,-0.4924862631118242,1.0071902248869418,True,1,133
1980-09-30,2010-08-31,1466139.6163944183,1476775.1678428003,0.08213058256541839,0.08251406116381621,-0.5043708215875682,-0.49231550761660037,1.0072541191367146,True,1,133
1980-10-31,2010-09-30,1582957.8964112115,1594541.534981388,0.08618548966715855,0.08656974141094564,-0.504319829202884,-0.4921459390691453,1.0073177174177772,True,1,133
1980-11-30,2010-10-31,1628785.0745662816,1640807.5384997674,0.08768821424353956,0.08807486670363884,-0.5042688692954139,-0.4919764308247433,1.0073812463787999,True,1,133
1980-12-31,2010-11-30,1616140.7471780954,1628163.2111115812,0.08727821386680401,0.08766813063061707,-0.5042221051273348,-0.4918208369225763,1.0074389956162406,True,1,133
1981-01-31,2010-12-31,1709473.1418539602,1722297.5756484517,0.09022607634801028,0.0906174948147036,-0.5041714899492906,-0.49165238464138716,1.0075019802771414,True,1,133
1981-02-28,2011-01-31,1734194.756230384,1747321.4749864542,0.0909778105489274,0.09137228322374291,-0.5041175118702854,-0.49147268840224856,1.0075693452012298,True,1,133
1981-03-31,2011-02-28,1777655.4591492289,1791230.6228815028,0.09227176566482709,0.0926689641066889,-0.5040636118965529,-0.49129319871109633,1.0076365550266815,True,1,133
1981-04-30,2011-03-31,1762994.724909921,1776573.8932514135,0.09183911864783845,0.09223997954034435,-0.5040106501045393,-0.49111678114682134,1.0077023306704371,True,1,133
1981-05-31,2011-04-30,1798932.753139423,1812912.2256388129,0.09289288399726936,0.09329667850088574,-0.5039554620354334,-0.4909328928425847,1.0077709811414537,True,1,133
1981-06-30,2011-05-31,1762594.3351645845,1776413.6868778171,0.09182724859686098,0.09223526946549909,-0.5038995412223076,-0.4907465058011675,1.0078403472866844,True,1,133
1981-07-31,2011-06-30,1717500.7853757539,1731088.8640549786,0.09047145986895044,0.09088400387834317,-0.5038420159548535,-0.49055471090862246,1.0079115414647406,True,1,133
1981-08-31,2011-07-31,1667090.294969135,1680400.2478923586,0.08890957152860879,0.08932686666648304,-0.503783331226688,-0.4903589874046911,1.0079839424195496,True,1,133
1981-09-30,2011-08-31,1561037.3458797282,1573622.3768340296,0.08544992262355522,0.08587358628443709,-0.5037199676624813,-0.4901475878786171,1.0080619666067048,True,1,133
1981-10-31,2011-09-30,1435947.6792797672,1447644.417091271,0.08102522167304693,0.08145643483255549,-0.503651763377106,-0.48991995548955947,1.0081456573803376,True,1,133
1981-11-30,2011-10-31,1576896.5129801512,1589869.80795464,0.08598320449310659,0.08641513655064825,-0.5035854754974505,-0.4896986368234564,1.0082271061339154,True,1,133
1981-12-31,2011-11-30,1558189.1839172696,1571132.1675189354,0.08535352731592738,0.08579004815384761,-0.5035205974312555,-0.48948194657364985,1.0083064262897317,True,1,133
1982-01-31,2011-12-31,1557868.6354636932,1570943.950954964,0.08534266646075905,0.08578372828292502,-0.5034499089375668,-0.4892457611587634,1.00839307961764,True,1,133
1982-02-28,2012-01-31,1610127.748317292,1623786.8213840523,0.08708201781975156,0.08752655604074389,-0.5033764741205926,-0.4890003018243284,1.0084832231983052,True,1,133
1982-03-31,2012-02-29,1660367.6561544926,1674615.0121257484,0.08869743143299091,0.08914592783596809,-0.5032971903568536,-0.4887351800799753,1.0085808440789876,True,1,133
1982-04-30,2012-03-31,1694961.4970133891,1709676.5558229235,0.08977932093769425,0.09023230951370986,-0.5032153075267674,-0.4884612449792961,1.008681647834162,True,1,133
1982-05-31,2012-04-30,1665170.8343791782,1679791.7843239263,0.08884909536793262,0.08930786808463154,-0.5031346780768026,-0.4881913816043416,1.008780450415587,True,1,133
1982-06-30,2012-05-31,1546667.0686310476,1560408.1578047785,0.08496160203918501,0.08542864435668251,-0.5030495645347791,-0.4879063793757794,1.0088843225878554,True,1,133
1982-07-31,2012-06-30,1590857.128409478,1605163.3333903498,0.08644785168002933,0.08691943643203404,-0.5029607595869262,-0.487608873204568,1.008992765425249,True,1,133
1982-08-31,2012-07-31,1592484.4324946473,1606986.6276330603,0.08650172482175189,0.08697921137324682,-0.5028674421030138,-0.4872960917588882,1.009106647978778,True,1,133
1982-09-30,2012-08-31,1609896.9797716404,1624723.9308488525,0.08707447234335275,0.08755690592199228,-0.5027822290178099,-0.48701033327814747,1.0092098757023045,True,1,133
1982-10-31,2012-09-30,1632827.8778029708,1648036.838781673,0.08781857795342773,0.08830589366078723,-0.50269573701292,-0.4867201479063177,1.0093144912488672,True,1,133
1982-11-30,2012-10-31,1586203.000297364,1601129.1479457377,0.08629344274750084,0.08678691762247182,-0.5026160300978322,-0.48645260361871656,1.0094099857619583,True,1,133
1982-12-31,2012-11-30,1579428.951734168,1594438.680937628,0.08606782141238489,0.08656634287723519,-0.5025378160990148,-0.4861899554496233,1.0095032633072731,True,1,133
1983-01-31,2012-12-31,1577822.6765169592,1592966.8709167691,0.08601416768235448,0.08651768484263012,-0.502458086776223,-0.48592210138751324,1.00959815993597,True,1,133
1983-02-28,2013-01-31,1643453.805223638,1659381.898863491,0.08815956109540113,0.08866624673701029,-0.5023792768174047,-0.4856572194793576,1.009691841406936,True,1,133
1983-03-31,2013-02-28,1649606.2001004682,1665747.5498697236,0.08835590092814671,0.0888672737751035,-0.5023006930230716,-0.48539298232385364,1.0097849715697433,True,1,133
1983-04-30,2013-03-31,1695327.5622077445,1712071.772843007,0.08979064132597236,0.09030564542402053,-0.502223139490513,-0.4851320963696858,1.0098766816564095,True,1,133
1983-05-31,2013-04-30,1712687.396764702,1729751.1780659445,0.09032447649106223,0.09084354605676936,-0.5021495844898889,-0.48488455743656456,1.009963161598244,True,1,133
1983-06-30,2013-05-31,1737036.15101762,1754497.084751738,0.09106347008131621,0.09158657004110893,-0.5020738906791342,-0.48462971504294206,1.010052141818631,True,1,133
1983-07-31,2013-06-30,1698894.3108122582,1716119.6467975115,0.08990080332072914,0.09042933044678403,-0.5019994633259006,-0.4843790319964354,1.0101391451343538,True,1,133
1983-08-31,2013-07-31,1769012.1538864516,1787111.2083417478,0.09201716377737545,0.09254877679978613,-0.5019209871787129,-0.4841145996728635,1.0102311645601378,True,1,133
1983-09-30,2013-08-31,1702239.4817183516,1719811.5140335676,0.09000389497538319,0.09054186326261604,-0.5018423394930119,-0.4838494736073221,1.0103228908176174,True,1,133
1983-10-31,2013-09-30,1739755.2509530708,1757875.1933974363,0.09114530141536292,0.09168712444995153,-0.5017630779888114,-0.48358216103183627,1.0104152250349232,True,1,133
1983-11-30,2013-10-31,1802981.865849251,1821932.878168784,0.09301018825531693,0.09355546436518947,-0.5016810326440682,-0.4833053357378253,1.0105109278570623,True,1,133
1983-12-31,2013-11-30,1840883.967565872,1860408.9007900688,0.0940946772709641,0.0946440138643958,-0.5015991310485013,-0.48302886946011037,1.0106062813127836,True,1,133
