series,deposit_at,end,t2007,t2009,diff,n2007,n2009,ratio,err,err_2007_only,err_ratio
VFINX_TR,close,2016-01,161243.64450857733,126350.6916766294,34892.95283194793,103,84,1.2761595711818485,182405.66381479328,85756.35549142267,0.16853625279619822
VFINX_TR,close,2016-02,162009.57326486986,127167.27320060709,34842.300064262774,104,85,1.2739879466417343,180823.15353452304,84990.42673513014,0.166364628256084
VFINX_TR,close,2016-03,173990.24360187002,136786.405246515,37203.83835535502,105,86,1.2719849117191628,159223.35115161497,73009.75639812998,0.16436159333351252
VFINX_TR,close,2016-04,175640.4538558919,138297.58289338116,37342.87096251073,106,87,1.2700182474721902,156061.96325072696,71359.54614410811,0.16239492908653985
VFINX_TR,close,2016-05,179772.0511929161,141763.37213952563,38008.67905339046,107,88,1.2681135365204332,148464.57666755829,67227.94880708391,0.16049021813478292
VFINX_TR,close,2016-06,181226.30453454083,143121.5840255616,38104.720508979226,108,89,1.26624020945837,145652.11143989756,65773.69546545917,0.1586168910727197
VFINX_TR,close,2016-07,188888.87646569355,149383.28072527598,39505.59574041757,109,90,1.2644579470246775,131727.84280903047,58111.12353430645,0.1568346286390272
VFINX_TR,close,2016-08,190133.45661977917,150576.70760409083,39556.74901568834,110,91,1.2627016465235403,129289.83577613,56866.54338022083,0.15507832813789002
VFINX_TR,close,2016-09,191160.97962660278,151598.5045241308,39562.47510247197,111,92,1.2609687689641726,127240.5158492664,55839.020373397216,0.15334545057852234
VFINX_TR,close,2016-10,188656.83302746995,149819.57241623147,38837.26061123848,112,93,1.2592268819413,131523.59455629857,58343.166972530045,0.15160356355564963
VFINX_TR,close,2016-11,196635.2638674637,156361.40998345002,40273.85388401369,113,94,1.2575690119977585,117003.32614908626,50364.73613253629,0.1499456936121082
VFINX_TR,close,2016-12,201491.5337940506,160427.85793962295,41063.67585442765,114,95,1.2559634989945572,108080.60826632645,45508.4662059494,0.14834018060890686
VFINX_TR,close,2017-01,206285.92459614953,164448.95752184524,41836.967074304295,115,96,1.2544070069203492,99265.11788200523,40714.07540385047,0.14678368853469892
VFINX_TR,close,2017-02,215460.43483975943,171965.59063893766,43494.84420082177,116,97,1.2529276004531884,82573.97452130291,31539.56516024057,0.1453042820675381
VFINX_TR,close,2017-03,216664.15886362112,173128.18903950608,43535.96982411505,117,98,1.2514666737152815,80207.6520968728,30335.841136378876,0.14384335532963122
VFINX_TR,close,2017-04,219870.03412786426,175890.8210860267,43979.21304183756,118,99,1.2500369989195041,74239.14478610904,27129.96587213574,0.14241368053385384
VFINX_TR,close,2017-05,223934.4927672339,179342.31543540873,44592.177331825165,119,100,1.2486428103906426,66723.19179735737,23065.507232766104,0.1410194920049923
VFINX_TR,close,2017-06,226303.62855646858,181438.81459260677,44864.813963861816,120,101,1.2472724155776642,62257.55685092465,20696.371443531418,0.1396490971920139
VFINX_TR,close,2017-07,231925.7165512974,186144.57119966534,45781.14535163206,121,102,1.2459440264982296,51929.71224903726,15074.283448702598,0.13832070811257924
VFINX_TR,close,2017-08,233606.30897543213,187690.8175876733,45915.49138775884,122,103,1.2446336585768827,48702.87343689459,13393.691024567874,0.13701034019123237
VFINX_TR,close,2017-09,239417.73763666826,192556.55641618732,46861.18122048094,123,104,1.243363207634417,38025.70594714442,7582.262363331742,0.13573988924876668
VFINX_TR,close,2017-10,245966.5251424153,198019.28096173983,47947.24418067548,124,105,1.2421342202022214,26014.19389584486,1033.4748575846897,0.1345109018165711
VFINX_TR,close,2017-11,254491.43901664272,205077.3331044482,49414.10591219453,125,106,1.2409535230645279,25414.10591219453,7491.439016642718,0.13333020467887757
VFINX_TR,close,2017-12,258295.20491350957,208336.69725045018,49958.5076630594,126,107,1.2397969648285352,25958.507663059398,11295.204913509573,0.13217364644288487
VFINX_TR,close,2018-01,274050.71920424077,221238.25428706696,52812.46491717381,127,108,1.238713079197629,28812.464917173813,27050.71920424077,0.13108976081197876
VFINX_TR,close,2018-02,264915.10597703577,214055.88066284533,50859.22531419044,128,109,1.237597888722794,26859.225314190437,17915.105977035768,0.12997457033714377
VFINX_TR,close,2018-03,259132.77366604525,209575.64158616922,49557.13207987603,129,110,1.2364641792567295,25557.132079876028,12132.77366604525,0.12884086087107915
VFINX_TR,close,2018-04,261099.9256052746,211357.83322217013,49742.092383104464,130,111,1.2353453932829532,25742.092383104464,14099.925605274591,0.12772207489730292
VFINX_TR,close,2018-05,268352.2239423609,217419.007506773,50933.21643558791,131,112,1.2342629424154705,26933.216435587907,21352.2239423609,0.1266396240298202
VFINX_TR,close,2018-06,270965.29219588224,219725.91562018072,51239.37657570152,132,113,1.2331967825965242,27239.37657570152,23965.29219588224,0.1255734642108739
VFINX_TR,close,2018-07,282016.2691775709,228876.25879617097,53140.010381399916,133,114,1.2321779054800284,40892.527973741846,35016.26917757088,0.12455458709437806
VFINX_TR,close,2018-08,292171.16424355516,237306.10721762743,54865.05702592773,134,115,1.231199515550657,59477.271461182594,45171.16424355516,0.12357619716500667
VFINX_TR,close,2018-09,294789.02399619616,239620.15886580187,55168.86513039429,135,116,1.2302346571821252,64409.18286199804,47789.02399619616,0.1226113387964749
VFINX_TR,close,2018-10,275598.97079846606,224208.61243450904,51390.35836395703,136,117,1.229207780227301,29807.5832329751,28598.970798466064,0.12158446184165062
VFINX_TR,close,2018-11,282184.44071054715,229752.57156162115,52431.869148925995,137,118,1.2282101514361654,41937.0122721683,35184.44071054715,0.1205868330505151
VFINX_TR,close,2018-12,257649.87169443394,209962.5064524416,47687.365241992346,138,119,1.2271232423718184,23687.365241992346,10649.87169443394,0.11949992398616804
VFINX_TR,close,2019-01,279267.2055153495,227763.8619390069,51503.343576342624,139,120,1.2261260550198028,37031.06745435641,32267.205515349517,0.11850273663415245
VFINX_TR,close,2019-02,289205.16853880504,236053.45748007146,53151.71105873358,140,121,1.2251681107582204,55258.6260188765,42205.16853880504,0.1175447923725701
VFINX_TR,close,2019-03,295801.29659526603,241621.09844894859,54180.198146317445,141,122,1.2242362049263054,67422.39504421462,48801.29659526603,0.11661288654065505
VFINX_TR,close,2019-04,308755.07400317315,252385.37217309215,56369.701830081,142,123,1.2233477374093664,91140.44617626531,61755.074003173155,0.11572441902371611
VFINX_TR,close,2019-05,290103.9015933223,237321.93263834022,52781.96895498206,143,124,1.2224066202739785,57425.834231662506,43103.90159332228,0.11478330188832819
VFINX_TR,close,2019-06,311505.0450926256,255011.25938194938,56493.785710676224,144,125,1.2215344759584175,96516.30447457498,64505.0450926256,0.11391115757276715
VFINX_TR,close,2019-07,316946.7917714477,259647.46185207373,57299.329919373966,145,126,1.220681263397131,106594.25362352142,69946.7917714477,0.11305794501148059
VFINX_TR,close,2019-08,312903.77017018694,256516.1445684561,56387.62560173083,146,127,1.2198209617433369,99419.91473864304,65903.77017018694,0.11219764335768656
VFINX_TR,close,2019-09,319729.2882464705,262291.8602341042,57437.42801236629,147,128,1.218982884032701,112021.14848057472,72729.2882464705,0.11135956564705074
VFINX_TR,close,2019-10,327619.4526595576,268944.24838765454,58675.20427190303,148,129,1.2181686525131743,126563.70104721212,80619.45265955757,0.11054533412752399
VFINX_TR,close,2019-11,340480.72188923106,279681.2164217628,60799.50546746829,149,130,1.2173885906437916,150161.93831099384,93480.72188923106,0.10976527225814126
VFINX_TR,close,2019-12,351721.7469098896,289093.5057263987,62628.2411834909,150,131,1.216636624285718,170815.25263628835,104721.74690988963,0.10901330590006775
VFINX_TR,close,2020-01,352544.721513608,289948.0018078515,62596.71970575652,151,132,1.215889467475066,172492.7233214595,105544.721513608,0.10826614908941568
VFINX_TR,close,2020-02,324490.2718879407,267052.3678683601,57437.90401958063,152,133,1.215081051248697,121542.63975630078,77490.2718879407,0.1074577328630466
VFINX_TR,close,2020-03,285249.4453039521,234934.55523961858,50314.89006433351,153,134,1.2141655577784862,50184.00054357067,38249.44530395209,0.10654223939283591
