depth_bucket,n,pct
"(0.0, 0.1]",45,0.5755211663895639
"(0.1, 0.2]",348,4.450697020079294
"(0.2, 0.236]",193,2.468346335848574
"(0.236, 0.3]",348,4.450697020079294
"(0.3, 0.382]",526,6.727202967131348
"(0.382, 0.45]",420,5.371530886302596
"(0.45, 0.5]",296,3.7856503389180203
"(0.5, 0.55]",267,3.4147589205780786
"(0.55, 0.618]",329,4.207699194270368
"(0.618, 0.7]",386,4.936692671697148
"(0.7, 0.786]",359,4.591379971863409
"(0.786, 0.9]",431,5.512213838086712
"(0.9, 1.0]",353,4.514643816344801
"(1.0, 1.5]",2886,36.9100908044507
"(1.5, 99.0]",631,8.070085688706996
