symbol,iL,iH,start,date_high,date_start,L,H,rng_pct,swing_bars,outcome,out_i,max_depth,touch_0.236,touch_0.382,touch_0.5,touch_0.618,touch_0.786
AAPL,10,35,40,2015-02-24,2015-03-03,23.258654074194936,29.65418287142429,27.497415700958722,25,resume,79,0.41542911707201585,42.0,46.0,,,
AAPL,47,52,57,2015-03-19,2015-03-26,26.997293989982648,28.688643287209903,6.264884539372097,5,resume,76,0.8727050499354112,57.0,57.0,57.0,57.0,57.0
AAPL,57,68,73,2015-04-13,2015-04-20,27.21259421431497,28.53770685055236,4.869482952640831,11,resume,75,0.5695115890710339,73.0,73.0,73.0,,
AAPL,72,79,84,2015-04-28,2015-05-05,27.625444304883104,29.862819568153768,8.098965716454316,7,fail,85,1.109124631229645,84.0,84.0,84.0,84.0,84.0
AAPL,85,97,102,2015-05-22,2015-06-01,27.381291554356363,29.637624750115435,8.240419160943818,12,fail,128,1.030313737676946,102.0,105.0,107.0,108.0,122.0
AAPL,108,119,124,2015-06-24,2015-07-01,27.99938877808449,28.93106816595417,3.3274990224033636,11,fail,126,1.1842080852260488,124.0,124.0,124.0,124.0,124.0
AAPL,129,136,141,2015-07-20,2015-07-27,26.572903760908204,29.63762046796679,11.533239779263932,7,fail,146,1.1236399222193423,141.0,141.0,141.0,141.0,141.0
AAPL,161,166,171,2015-08-31,2015-09-08,20.59866137866973,25.64309525264471,24.48913442112593,5,resume,175,0.21127471025960035,,,,,
AAPL,161,175,180,2015-09-14,2015-09-21,20.59866137866973,26.17149764796705,27.054361285185703,14,resume,204,0.3848945412056582,186.0,188.0,,,
AAPL,161,184,189,2015-09-25,2015-10-02,20.59866137866973,26.126711263608605,26.836937523829917,23,resume,204,0.370190162172191,189.0,,,,
AAPL,188,195,200,2015-10-12,2015-10-19,24.026543388881606,25.24455175084694,5.069428183035993,7,resume,201,0.4852920503574176,200.0,200.0,,,
AAPL,188,212,217,2015-11-04,2015-11-11,24.026543388881606,27.723113739287285,15.385360642914137,24,fail,243,1.0634205324027848,217.0,217.0,219.0,219.0,239.0
AAPL,220,224,229,2015-11-20,2015-11-30,24.95911316407321,26.96483435017437,8.036027453844993,4,fail,239,1.1356491203668975,229.0,231.0,232.0,232.0,238.0
AAPL,232,234,239,2015-12-07,2015-12-14,25.68315227282197,26.951341656435577,4.9378260508762,2,fail,239,1.785461096122953,239.0,239.0,239.0,239.0,239.0
AAPL,244,249,254,2015-12-29,2016-01-06,23.73814342562327,24.606089071221,3.6563333114790124,5,fail,254,2.476689184124799,254.0,254.0,254.0,254.0,254.0
AAPL,269,274,279,2016-02-04,2016-02-11,20.77452615611461,22.00407198178805,5.918526451259375,5,resume,282,0.8715377435374979,279.0,279.0,279.0,279.0,279.0
AAPL,279,283,288,2016-02-18,2016-02-25,20.93247638730467,22.35676243123464,6.8041927652371905,4,resume,291,0.5777837680164205,288.0,288.0,288.0,,
AAPL,287,294,299,2016-03-04,2016-03-11,21.097507886496512,23.4554930917356,11.176605397779332,7,resume,301,0.21572604193312342,,,,,
AAPL,310,314,319,2016-04-04,2016-04-11,23.71095125159634,25.363577799151532,6.969887163189739,4,resume,321,0.48289198379098486,319.0,319.0,,,
AAPL,317,322,327,2016-04-14,2016-04-21,24.44345061287324,25.408795650036424,3.94929935405594,5,fail,327,1.6089037424354304,327.0,327.0,327.0,327.0,327.0
AAPL,342,352,357,2016-05-26,2016-06-03,20.350263778278634,22.91138901506927,12.585218868387916,10,resume,358,0.29129880498586624,357.0,,,,
AAPL,356,358,363,2016-06-06,2016-06-13,21.978829937727227,23.17522777319384,5.443410039826391,2,fail,366,1.1064696179184361,363.0,363.0,363.0,363.0,363.0
AAPL,393,408,413,2016-08-16,2016-08-23,21.93106311577136,25.208019832624814,14.942078728946278,15,resume,428,0.5373528964949256,415.0,425.0,426.0,,
AAPL,426,431,436,2016-09-19,2016-09-26,23.447137649135108,26.56869573487193,13.31317337087398,5,resume,446,0.33919368533549693,436.0,,,,
AAPL,436,447,452,2016-10-11,2016-10-18,25.50988294378204,27.1426964864746,6.400709663352468,11,fail,462,1.1428579729617296,453.0,453.0,453.0,453.0,462.0
AAPL,436,457,462,2016-10-25,2016-11-01,25.50988294378204,27.06723548830231,6.104898826671687,21,fail,462,1.1497801083988812,462.0,462.0,462.0,462.0,462.0
AAPL,471,480,485,2016-11-28,2016-12-05,23.92380072835661,25.852332395445483,8.0611424956529,9,resume,489,0.5029825073293703,485.0,485.0,485.0,,
AAPL,485,501,506,2016-12-28,2017-01-05,24.88231470206903,27.12804477467143,9.025406596982153,16,resume,507,0.2261999124998453,,,,,
AAPL,504,544,549,2017-03-02,2017-03-09,26.37870485695846,32.38452819956247,22.767696045621914,40,resume,553,0.12415588452551592,,,,,
AAPL,561,568,573,2017-04-05,2017-04-12,32.00131072025473,33.58036228806485,4.934334039045103,7,resume,585,0.7324614441396956,573.0,573.0,573.0,573.0,
AAPL,572,595,600,2017-05-15,2017-05-22,32.33373613194622,36.312915209144016,12.306586102390778,23,resume,650,0.8417945753800944,606.0,613.0,613.0,613.0,614.0
AAPL,607,611,616,2017-06-07,2017-06-14,35.28600619612489,36.15760479926238,2.4700970642384896,4,fail,616,3.2287444417001834,616.0,616.0,616.0,616.0,616.0
AAPL,618,624,629,2017-06-26,2017-07-03,32.96326384749294,34.37267413935767,4.275700059270451,6,resume,636,0.9654663701201349,629.0,629.0,629.0,629.0,629.0
AAPL,646,660,665,2017-08-16,2017-08-23,34.145502475929085,37.819253022132784,10.759105240268507,14,resume,669,0.25085225547318185,666.0,,,,
AAPL,663,672,677,2017-09-01,2017-09-11,36.09712212814853,38.38475924397722,6.337450137180868,9,fail,684,1.1302102538767578,677.0,677.0,677.0,678.0,684.0
