level,fibonacci,P_touch_given_resume,P_touch,P_resume_given_touch
0.2,False,0.9079194001874414,0.9497378181353114,0.5218152437382171
0.236,True,0.862933458294283,0.9250543547768256,0.5091939720724458
0.3,False,0.781630740393627,0.8805473845760328,0.48453159041394334
0.382,True,0.6588566073102156,0.8132753549047192,0.4422078943230068
0.45,False,0.5611527647610122,0.7595600460416934,0.40326654318908906
0.5,True,0.49250234301780693,0.7217035426525131,0.37249689881268827
0.55,False,0.43064667291471415,0.6875559534467324,0.34188988095238093
0.618,True,0.3535613870665417,0.6454789615040286,0.2989894987121062
0.7,False,0.2642924086223055,0.5961120347870572,0.24200815275691911
0.786,True,0.18181818181818182,0.550198235068423,0.1803812180381218
0.85,False,0.12160262417994376,0.5170737946028904,0.1283700222606975
