date,symbol,gap,prev_close,rank,ma,vwap,fill,stop,target,inverted,entry_ts,entry_px,exit_px,exit_ts,exit_reason,R_dollars,pnl_pct,R_mult,equity_frictionless
2021-01-06,TATT,0.4901961,5.1,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-06 09:55:00,7.66,7.140000000000001,2021-01-06 10:41:00,stop,0.5199999999999996,-6.788511749347248,-1.0,0.99
2021-01-07,NCTY,0.45668232,14.89,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-07 10:15:00,23.35,22.259999999999998,2021-01-07 10:45:00,stop,1.0900000000000034,-4.668094218415431,-1.0,0.9801
2021-01-08,LGHL,1.1652174,2.3,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-08 10:50:00,4.75,4.3,2021-01-08 11:35:00,stop,0.4500000000000002,-9.473684210526322,-1.0,0.9702989999999999
2021-01-12,IRIX,0.37328672,2.86,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-12 10:20:00,3.995,3.81,2021-01-12 10:35:00,stop,0.18500000000000005,-4.630788485607007,-1.0,0.96059601
2021-01-13,BGM,0.42003298,10.0,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-13 10:00:00,14.64,13.22,2021-01-13 10:56:00,stop,1.42,-9.699453551912562,-1.0,0.9509900498999999
2021-01-14,ORGO,0.32697546,7.34,3.0,ema,premkt,nextopen,pullback,eod,False,2021-01-14 10:25:00,9.4495,9.25,2021-01-14 13:38:00,stop,0.19950000000000045,-2.111222816022018,-1.0,0.9414801494009999
2021-01-19,ACRS,1.3894558,5.88,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-19 10:20:00,15.3984,18.705,2021-01-19 15:55:00,eod,0.7384000000000004,21.473659600997497,4.4780606717226386,0.9836402017034015
2021-01-20,DARE,0.45762706,2.36,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-20 09:45:00,3.5599,3.49,2021-01-20 09:50:00,stop,0.06989999999999963,-1.9635383016376795,-1.0,0.9738037996863674
2021-01-21,IPWR,0.37650943,9.11,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-21 09:50:00,15.6,13.120000000000001,2021-01-21 10:15:00,stop,2.4799999999999986,-15.897435897435885,-1.0,0.9640657616895038
2021-01-22,EVGO,0.55547225,13.34,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-22 10:05:00,21.95,20.779999999999998,2021-01-22 10:16:00,stop,1.1700000000000017,-5.330296127562651,-1.0,0.9544251040726087
2021-01-25,AMTX,0.6181817,4.4,1.0,ema,premkt,nextopen,pullback,eod,False,2021-01-25 09:55:00,7.3,6.94,2021-01-25 10:07:00,stop,0.35999999999999943,-4.93150684931506,-1.0,0.9448808530318826
2021-01-26,VANI,0.23923445,2.09,3.0,ema,premkt,nextopen,pullback,eod,False,2021-01-26 09:50:00,2.4889,2.43,2021-01-26 09:56:00,stop,0.05889999999999995,-2.3665072923781616,-1.0,0.9354320445015638
2021-01-27,KOSS,0.7520001,10.0,2.0,ema,premkt,nextopen,pullback,eod,False,2021-01-27 10:00:00,17.0,57.41,2021-01-27 15:53:00,eod,0.9100000000000001,237.70588235294116,44.406593406593394,1.3508255490983572
2021-01-28,MPU,0.85025644,9.75,3.0,ema,premkt,nextopen,pullback,eod,False,2021-01-28 10:45:00,14.14,13.790000000000001,2021-01-28 10:50:00,stop,0.34999999999999964,-2.4752475247524774,-1.0,1.3373172936073736
2021-02-02,AREC,0.35436904,2.51,2.0,ema,premkt,nextopen,pullback,eod,False,2021-02-02 09:50:00,3.3899,3.31,2021-02-02 09:56:00,stop,0.07989999999999986,-2.3570016814655204,-1.0,1.3239441206712999
2021-02-03,SLS,0.43643022,8.18,2.0,ema,premkt,nextopen,pullback,eod,False,2021-02-03 09:50:00,12.095,11.84,2021-02-03 09:57:00,stop,0.2550000000000008,-2.1083092186854113,-1.0,1.310704679464587
2021-02-04,ATOS,0.36728394,3.24,2.0,ema,premkt,nextopen,pullback,eod,False,2021-02-04 09:50:00,4.67,4.32,2021-02-04 10:04:00,stop,0.34999999999999964,-7.494646680942174,-1.0,1.297597632669941
2021-02-05,KRKR,0.46888888,4.5,2.0,ema,premkt,nextopen,pullback,eod,False,2021-02-05 10:25:00,5.74,5.38,2021-02-05 10:51:00,stop,0.3600000000000003,-6.271777003484324,-1.0,1.2846216563432415
2021-02-08,OCGN,0.767619,5.25,1.0,ema,premkt,nextopen,pullback,eod,False,2021-02-08 10:10:00,12.25,15.5499,2021-02-08 15:55:00,eod,1.709999999999999,26.937959183673456,1.9297660818713456,1.3094118493477274
2021-02-09,OTLK,0.19637465,3.31,2.0,ema,premkt,nextopen,pullback,eod,False,2021-02-09 09:50:00,3.951,3.75,2021-02-09 09:57:00,stop,0.20100000000000007,-5.087319665907364,-1.0,1.2963177308542502
2021-02-10,OLB,0.7127516,7.45,1.0,ema,premkt,nextopen,pullback,eod,False,2021-02-10 10:30:00,10.9989,9.98,2021-02-10 13:57:00,stop,1.0189000000000004,-9.263653638091085,-1.0,1.2833545535457076
2021-02-11,RCMT,1.681572,3.69,1.0,ema,premkt,nextopen,pullback,eod,False,2021-02-11 09:50:00,9.95,8.66,2021-02-11 10:03:00,stop,1.2899999999999991,-12.964824120603001,-1.0,1.2705210080102505
2021-02-12,INO,0.18615377,13.0,2.0,ema,premkt,nextopen,pullback,eod,False,2021-02-12 10:20:00,15.585,15.49,2021-02-12 10:26:00,stop,0.09500000000000064,-0.6095604748155292,-1.0,1.2578157979301479
