date,symbol,rank,gap,raw_gap,prev_close,open,high,low,close,volume,prev_dollar_vol
2021-01-05,ATOM,1.0,0.2188679,0.2188679,15.9,19.38,24.69,18.11,21.82,7.847558e+06,1.0501854e+07
2021-01-06,TATT,1.0,0.4901961,0.4901961,5.1,7.6,8.34,6.25,6.59,2.9423864e+07,5.5567765e+06
2021-01-06,TLRY,2.0,0.15878022,0.15878022,9.51,11.02,12.04,10.52,10.77,6.377073e+07,1.6788638e+08
2021-01-06,ACB,3.0,0.14329898,0.14329898,9.7,11.09,11.3,10.12,10.27,7.412069e+07,2.3298341e+08
2021-01-06,CRON,4.0,0.12898934,0.12898934,7.52,8.49,9.07,8.11,8.65,1.683386e+07,3.5273064e+07
2021-01-06,NCTY,5.0,0.12850463,0.12850463,8.56,9.66,15.86,9.56,14.89,4.921884e+07,2.2883678e+08
2021-01-07,NCTY,1.0,0.45668232,0.45668232,14.89,21.69,27.82,16.1,17.1,3.4677016e+07,7.3286854e+08
2021-01-07,CBAT,2.0,0.37031257,0.37031257,6.4,8.77,8.8,7.31,7.72,3.980639e+07,3.1811248e+08
2021-01-07,XNET,3.0,0.27133536,0.27133536,3.37,4.2844,5.82,3.95,4.99,5.608693e+07,3.581587e+07
2021-01-07,DDD,4.0,0.2055161,0.2055161,11.24,13.55,25.33,12.36,22.96,1.9380443e+08,3.7319216e+07
2021-01-07,MARA,5.0,0.18985856,0.18985856,16.96,20.18,24.35,18.55,22.36,1.1953348e+08,1.4166982e+09
2021-01-08,LGHL,1.0,1.1652174,1.1652174,2.3,4.98,5.39,3.11,3.66,2.3716616e+07,1.1336815e+06
2021-01-08,FTFT,2.0,0.6452174,0.6452174,5.75,9.46,11.29,6.14,7.62,1.4433067e+08,1.699454e+09
2021-01-08,GRNQ,3.0,0.35585582,0.35585582,2.22,3.01,3.73,2.4,2.67,3.0485512e+07,2.0419576e+07
2021-01-08,SCOR,4.0,0.2570423,0.2570423,2.84,3.57,3.6,2.92,3.29,3.522797e+06,4.105004e+06
2021-01-08,JAGX,5.0,0.21641803,0.21641791,2.68,3.26,4.47,3.2,4.0,2.886469e+08,3.104894e+08
2021-01-11,GOVX,1.0,1.148485,1.148485,3.3,7.09,7.4,5.13,5.36,5.091293e+07,1.9844286e+06
2021-01-11,PWCM,2.0,0.56338024,0.5633801,2.13,3.33,3.7,2.27,2.45,2.2299402e+08,4.7038077e+08
2021-01-11,MESO,3.0,0.4907621,0.4907621,8.66,12.91,13.7,11.35,11.4,1.5360405e+07,2.632969e+06
2021-01-11,BNGO,4.0,0.26709402,0.26709402,4.68,5.93,6.08,5.23,5.67,1.4576394e+08,6.4352666e+08
2021-01-11,DOGZ,5.0,0.111607194,0.111607194,2.24,2.49,2.55,2.13,2.32,934697.0,1.3998812e+06
2021-01-12,IRIX,1.0,0.37328672,0.37328672,2.86,3.9276,4.93,3.53,4.13,1.0748096e+07,1.4081152e+06
2021-01-12,CAPR,2.0,0.17312074,0.17312074,4.39,5.15,5.96,4.69,4.91,9.041036e+06,4.0305688e+06
2021-01-12,PAVS,3.0,0.16981137,0.16981137,2.12,2.48,2.57,2.15,2.37,6.863621e+06,6.1126656e+07
2021-01-12,UAVS,4.0,0.1636107,0.1636107,7.09,8.25,8.27,7.36,7.79,4.609998e+06,2.7841382e+07
2021-01-12,APXTW,5.0,0.1618799,0.1618799,3.83,4.45,4.7617,4.13,4.51,1.003307e+06,3.0689445e+06
