label,n,mean_pct,median_pct,std_pct,win_rate,total_pct,t,p,best,worst,avg_R,median_R,expectancy_R,pct_stopped,pct_target,pct_eod,mean_R_dollars,ma,vwap,fill,stop,target,breakeven_bps,mean_net_1x,mean_net_2x,passes_bonferroni
ema|premkt|nextopen|pullback|eod,1924,0.7324343229998892,-2.349168297455967,21.417317036357677,0.25571725571725573,1409.2036374517868,1.5000514536691651,0.1336010747410148,604.0722013809601,-34.77633477633477,0.2010122514049198,-1.0,0.2010122514049198,0.6985446985446986,0.0,0.30145530145530147,0.491091683991684,ema,premkt,nextopen,pullback,eod,73.24343229998892,0.2824343229998892,-0.16756567700011082,False
ema|premkt|trigger|pullback|eod,1923,0.6434578851857556,-2.8150991682661552,21.337337495917822,0.25221008840353615,1237.3695132122082,1.322420408088961,0.18602819680140859,611.5384615384615,-26.08340147179067,0.11355035822213057,-1.0,0.11355035822213057,0.7103484139365575,0.0,0.28965158606344255,0.4805552782111286,ema,premkt,trigger,pullback,eod,64.34578851857556,0.19345788518575563,-0.2565421148142444,False
ema|premkt|nextopen|atr|eod,1892,0.5061490394441327,-2.8795006609431018,20.42426680492767,0.23520084566596194,957.633982628299,1.0779348373574116,0.28106283722308634,604.0722013809601,-24.762698915137193,0.08689027025954506,-1.0,0.08689027025954506,0.733615221987315,0.0,0.266384778012685,0.4310044095439445,ema,premkt,nextopen,atr,eod,50.61490394441327,0.05614903944413269,-0.3938509605558673,False
ema|premkt|trigger|c20|eod,1923,0.44372082763622267,-1.8331805682859748,17.836856443242237,0.1996879875195008,853.2751515444562,1.090890449206091,0.27532109016772766,611.5384615384615,-14.449541284403677,0.16795449817992839,-1.0,0.16795449817992839,0.7717108684347374,0.0,0.22828913156526262,0.19999999999999973,ema,premkt,trigger,c20,eod,44.37208276362227,-0.006279172363777341,-0.45627917236377735,False
sma|premkt|nextopen|pullback|eod,1831,0.3612547316236673,-2.3603096026037163,16.49689548108871,0.2512288367012561,661.4574136029348,0.9370343105862335,0.3487409092207787,237.70588235294116,-34.77633477633477,0.18826719986473134,-1.0,0.18826719986473134,0.70398689240852,0.0,0.2960131075914801,0.49102626979792474,sma,premkt,nextopen,pullback,eod,36.12547316236673,-0.08874526837633273,-0.5387452683763327,False
ema|rth|nextopen|pullback|eod,2044,0.3455384554696861,-2.4631635969664165,20.4841803605932,0.25,706.2806029800383,0.7626376509188347,0.4456795237737954,604.0722013809601,-34.77633477633477,0.18395659853877666,-1.0,0.18395659853877666,0.7025440313111546,0.0,0.2974559686888454,0.5082607142857143,ema,rth,nextopen,pullback,eod,34.55384554696861,-0.10446154453031392,-0.5544615445303139,False
ema|premkt|trigger|atr|eod,1816,0.3426705039850713,-2.96308534630188,20.20960874865533,0.23458149779735682,622.2896352368895,0.7225646979632458,0.4699473633497404,611.5384615384615,-20.882157085941945,0.06751514035619312,-1.0,0.06751514035619312,0.7373348017621145,0.0,0.2626651982378855,0.43930610840151046,ema,premkt,trigger,atr,eod,34.26705039850713,-0.1073294960149287,-0.5573294960149286,False
ema|rth|trigger|pullback|eod,2052,0.2895450928220193,-3.0778270327548096,20.457421192776746,0.24512670565302144,594.1465304707835,0.6411416644605827,0.5214306465707468,611.5384615384615,-26.08340147179067,0.05511201827577842,-1.0,0.05511201827577842,0.7153996101364523,0.0,0.28460038986354774,0.48647387914230034,ema,rth,trigger,pullback,eod,28.95450928220193,-0.16045490717798072,-0.6104549071779808,False
ema|rth|nextopen|atr|eod,2025,0.2568281681741937,-3.034260535939093,19.50319878798405,0.2222222222222222,520.0770405527422,0.5925831805067364,0.5534601380780679,604.0722013809601,-23.00556586270871,0.0041502400073822185,-1.0,0.0041502400073822185,0.7501234567901235,0.0,0.24987654320987654,0.398367746031746,ema,rth,nextopen,atr,eod,25.68281681741937,-0.19317183182580633,-0.6431718318258064,False
sma|premkt|trigger|pullback|eod,1831,0.20571491697238906,-2.840909090909083,16.00236513051789,0.2468596395412343,376.6640129764444,0.5500799066491343,0.5822645677924887,224.16713721061546,-26.08340147179067,0.04294425037891689,-1.0,0.04294425037891689,0.7170944838885854,0.0,0.2829055161114145,0.47934374658656487,sma,premkt,trigger,pullback,eod,20.571491697238905,-0.24428508302761096,-0.6942850830276109,False
