ma,vwap,fill,stop,target,is_n,is_mean_pct,is_win,is_avg_R,is_t,oos_n,oos_mean_pct,oos_win,oos_avg_R,oos_t
sma,premkt,nextopen,pullback,eod,1010,0.42073490668736907,0.24752475247524752,0.3893824871434856,0.8136942523967133,821,0.28808180005930867,0.2557856272838002,-0.05914624733568495,0.4976957595986359
ema,premkt,nextopen,pullback,eod,1083,0.4163505858845146,0.2530009233610342,0.3716594283894692,0.8437999493470786,841,1.1394720011163584,0.25921521997621877,-0.01873910730407784,1.2399997428952034
ema,premkt,nextopen,atr,eod,1049,0.3138980736086591,0.2221163012392755,0.07134369438365169,0.6343271646459814,843,0.745379482102984,0.2514827995255042,0.10623589077415019,0.8712422581914381
sma,premkt,nextopen,atr,eod,1028,0.25045261031004606,0.2227626459143969,0.051006400084994574,0.504121654407153,838,0.025498025912890947,0.2541766109785203,0.009839951477800025,0.053236274872164514
ema,premkt,trigger,c20,eod,1087,0.1751210770537698,0.20883164673413063,0.19844986200552137,0.5211790436985,836,0.792964761706948,0.18779904306220097,0.12830322966507254,0.9582350965095991
ema,premkt,trigger,pullback,eod,1087,0.15004581693070773,0.25206991720331184,0.12924316493440083,0.3283508641941023,836,1.2850116150819724,0.25239234449760767,0.09314595523620026,1.3548648314679437
sma,premkt,nextopen,pullback,trail,1010,0.14983997336425095,0.36534653465346534,0.04602804045412596,0.5724153338266081,821,-0.13381595744273656,0.3471376370280146,-0.04763331647001158,-0.5591463137284507
sma,premkt,trigger,pullback,eod,1019,0.1392420374801834,0.24828263002944062,0.1021022001829251,0.2936675558348558,812,0.28913346894598213,0.24507389162561577,-0.0312946053480343,0.48360064731989433
sma,premkt,trigger,c20,eod,1019,0.11230586483080787,0.20608439646712462,0.18250932286555607,0.32633680058097164,812,-0.08288107822798058,0.1834975369458128,-0.08470443349753608,-0.22064569126408873
ema,premkt,nextopen,pullback,trail,1083,0.1056677283009656,0.3656509695290859,0.052032054057494614,0.42579633335828554,841,-0.1320805946304253,0.34720570749108204,-0.029935274362387212,-0.5537445556495633
ema,premkt,trigger,pullback,3R,1087,0.0985437693614947,0.30818767249310025,0.10303738716908416,0.3555689963475716,836,0.059392242549766876,0.28708133971291866,0.020766830568112408,0.16201996392077211
sma,premkt,trigger,pullback,3R,1019,0.09602107848381924,0.3042198233562316,0.0871683292343836,0.33483769968023525,812,0.11854470740791626,0.2857142857142857,0.017236096573402384,0.3184742407175862
sma,rth,nextopen,atr,eod,1051,0.08170943499693628,0.2159847764034253,-0.00982272866236928,0.17944986365222057,934,-0.08259647738518455,0.23447537473233404,-0.049482812181246685,-0.18321025131487406
ema,rth,nextopen,pullback,eod,1096,0.07495128001929004,0.25547445255474455,0.33005403987681664,0.16717895054952203,948,0.6583691983954602,0.24367088607594936,0.01505069589479796,0.7948978312702963
sma,rth,nextopen,pullback,eod,1021,0.07462032421445079,0.24975514201762977,0.3536224903133593,0.15599629146706226,913,0.02058586518445197,0.24534501642935377,-0.004070124066241327,0.037815499520461635
ema,rth,trigger,c20,3R,1109,0.06937499550872074,0.30387736699729484,0.0027502254283135372,0.39819826073837333,943,-0.32205396385840124,0.271474019088017,-0.04995970307529196,-1.6907284962205502
ema,rth,nextopen,atr,eod,1072,0.0669328015778352,0.21641791044776118,-0.018081792578462676,0.14987810470008056,953,0.47043554801815635,0.22875131164742918,0.029158360607619123,0.6093091027763545
ema,rth,nextopen,pullback,3R,1096,0.06331256109198607,0.3074817518248175,0.06749316860107228,0.214911049351442,948,0.24031757152843686,0.3080168776371308,0.02447238561919114,0.6288473742838514
ema,premkt,nextopen,pullback,3R,1083,0.047048260897939224,0.30655586334256696,0.0741397534451615,0.15813008577395193,841,0.39536481564053666,0.31391200951248516,0.028872771475293667,0.9925940557536643
ema,rth,trigger,pullback,3R,1109,0.03383854195786123,0.3011722272317403,0.07140499463077317,0.1202196073000785,943,0.04555933255565205,0.2873806998939555,0.02658448124601155,0.12585820858142538
sma,rth,trigger,c20,3R,1040,0.009623769029850711,0.30480769230769234,0.0014024038461535806,0.053973258067787834,905,-0.2458487116906267,0.2751381215469613,-0.02942209944751412,-1.2526826922456127
sma,premkt,nextopen,pullback,3R,1010,0.005194987741637998,0.300990099009901,0.05974093184918875,0.01683903385605069,821,0.3576806024518063,0.3118148599269184,0.025084535516589783,0.9014999555968797
sma,rth,nextopen,pullback,3R,1021,-0.006846047878858763,0.3036238981390793,0.05562796325740065,-0.022127905760807778,913,0.2207873415943419,0.3099671412924425,0.03347881189183205,0.5648905052494915
