spec,n_is,mean_R_is,t_is
K14_band90_imp1.5,480,0.04600134481482464,0.8236077482303522
K9_band90_imp1.5,486,0.04415450570038035,0.8059653904620556
K9_band90_imp2,142,0.062428804242153045,0.6088192352178691
K21_band70_imp3,20,0.14785403809547706,0.48294893836470537
K14_band80_imp3,15,0.15720292028708993,0.4298355409186851
K21_band70_imp2,256,0.02005674940168895,0.2857834340837433
K14_band70_imp2,284,0.01650675268195253,0.2470689178413211
K14_band70_imp3,19,0.07147598970033414,0.22228039111794523
K21_band80_imp3,14,0.0255745574504535,0.06977500510179974
K14_band90_imp3,8,-0.00048637134330450915,-0.0010495079376520997
K5_band90_imp1.5,481,-0.003335677547260568,-0.060903447065117015
K21_band80_imp2,191,-0.03193489851323248,-0.3961714820009048
K14_band80_imp2,215,-0.03445952482325224,-0.44657349579241495
K14_band90_imp2,121,-0.047865017738214104,-0.45380507796012576
K21_band90_imp2,113,-0.06301330675709974,-0.5969853798318892
K5_band90_imp2,156,-0.08973305333370092,-0.9611699465823066
K9_band70_imp3,21,-0.263238557486579,-1.0014849439164297
K21_band90_imp1.5,452,-0.058080929701595944,-1.0413134552849417
K9_band80_imp3,18,-0.2988966868947198,-1.0948127545527624
K21_band90_imp3,7,-0.4665295431907329,-1.1005635929152784
K14_band70_imp1.5,1178,-0.03912823760569927,-1.138983689609106
K5_band70_imp3,31,-0.2525646202402409,-1.1737087263835522
K9_band70_imp1.5,1339,-0.041125191253460675,-1.2687598749698894
K14_band80_imp1.5,936,-0.05064091300295284,-1.3108468096483845
K5_band80_imp1.5,1145,-0.045943338733535406,-1.3151158741077003
K21_band80_imp1.5,824,-0.05540712340067164,-1.338676724519798
K9_band90_imp3,13,-0.4300985120101207,-1.3821726318120613
K9_band80_imp1.5,1062,-0.052472594879464776,-1.4506838010011536
K5_band70_imp1.5,1533,-0.04429510114216506,-1.457390032129105
K9_band80_imp2,268,-0.09831558275568246,-1.4777455731954678
K9_band70_imp2,328,-0.09057361640954346,-1.4848727157012946
K21_band70_imp1.5,1019,-0.05597981175545063,-1.5069664510140361
K5_band90_imp3,16,-0.4676156310426234,-1.8097291792492685
K5_band80_imp2,326,-0.12670824095872893,-2.0852935320131616
K5_band70_imp2,422,-0.12169320951953887,-2.267789696711584
K5_band80_imp3,29,-0.43414786245890613,-2.4352764305317836
