label,n,mean_R,median_R,win_rate,t_R,p_R,mean_ret_pct,t_ret,p_ret,breakeven_bps,median_risk_pct,mean_bars_held,target_rate,stop_rate,eod_rate,t_R_symclust,n_symbols
full_R2_k2_beNone,9508,0.11372150701343049,-0.21458219520808952,0.4533024821203197,8.87092476974853,0.0,0.06413700049795983,11.426308987087241,0.0,6.413700049795983,0.3113075775828673,12.135780395456457,0.210980227177114,0.4343710559528818,0.3542280185107278,9.195461444643495,10
full_R2_k2_be1.0,9508,0.11735356024190245,0.0,0.37410601598653764,10.18457909116011,0.0,0.06550783389155496,12.485382124464058,0.0,6.550783389155495,0.3113075775828673,10.818573832562054,0.16954143878838873,0.3242532604122844,0.2922801851072781,11.508925290483392,10
full_R2_k3_beNone,5917,0.11687567966354155,-0.04762811964179301,0.48166300490113234,5.09608757137436,3.467447782234956e-07,0.0531562231032935,7.542430240284815,4.618527782440651e-14,5.31562231032935,0.36333716253400716,10.881020787561264,0.1521041068108839,0.3522055095487578,0.49518336995098866,4.241419770527691,10
full_R2_k3_be1.0,5917,0.11921856891890771,0.0,0.41980733479803956,5.366684452618193,8.019718111818008e-08,0.054230432529944056,8.104966041862273,4.440892098500626e-16,5.423043252994406,0.36333716253400716,10.104782829136386,0.12709143146864965,0.2817306067263816,0.43129964509041746,5.0233355578392525,10
full_R2_k5_beNone,1752,0.09375163680928644,0.052024133974112444,0.5268264840182648,4.356842413197466,1.3195219838335603e-05,0.05822955389704161,4.5448145664282364,5.498363740308321e-06,5.822955389704161,0.46388992792618655,8.509132420091325,0.08447488584474885,0.2288812785388128,0.6860730593607306,3.411190998803489,10
full_R2_k5_be1.0,1752,0.09008335605136558,0.0,0.4851598173515982,4.505205239790781,6.630882273039873e-06,0.05912575908720094,4.7411413453814255,2.1251759920737356e-06,5.912575908720094,0.46388992792618655,8.151255707762557,0.0702054794520548,0.19121004566210045,0.6398401826484018,3.80223215589987,10
full_R3_k2_beNone,9508,0.09816703344766112,-0.40607954072718183,0.4223811527135044,6.914737672482742,4.687361609967411e-12,0.0605446666391146,10.096558278392308,0.0,6.05446666391146,0.3113075775828673,13.536705931846866,0.1045435422801851,0.45982330668910393,0.4352124526714346,7.340418203922766,10
full_R3_k2_be1.0,9508,0.10308657120122448,0.0,0.33540176693310897,8.294211313234495,0.0,0.06149513703544605,11.144959820182187,0.0,6.149513703544605,0.3113075775828673,11.819099705511148,0.07919646613378208,0.3242532604122844,0.34423643247791336,8.73163805811083,10
full_R3_k3_beNone,5917,0.10582260355417511,-0.09714285714289872,0.46256548926821023,4.460246350788227,8.186549663058429e-06,0.052530577918808705,7.069208744060326,1.5583090373638697e-12,5.25305779188087,0.36333716253400716,11.719114416089234,0.06743282068615852,0.3669089065404766,0.5651512590839952,4.463425610354774,10
full_R3_k3_be1.0,5917,0.1099061430455054,0.0,0.3949636640189285,4.834005764019667,1.3381270891343888e-06,0.05302702005108896,7.612362737367289,2.6867397195928788e-14,5.302702005108896,0.36333716253400716,10.740070981916512,0.05391245563630218,0.2817306067263816,0.4799729592699003,5.492846676753157,10
full_R3_k5_beNone,1752,0.0799601572977132,0.03162199000454357,0.5176940639269406,3.5707146575769713,0.0003560085606344465,0.056446123134144995,4.291492621874193,1.7747610092655464e-05,5.644612313414499,0.46388992792618655,8.868150684931507,0.02968036529680365,0.2345890410958904,0.7345890410958904,3.2022744843655686,10
full_R3_k5_be1.0,1752,0.07428109209824797,0.0,0.4731735159817352,3.6591303475220345,0.0002530726009613016,0.056337870495689085,4.428366123629191,9.494962561085174e-06,5.633787049568909,0.46388992792618655,8.425228310502282,0.021118721461187213,0.19121004566210045,0.6763698630136986,3.3132454847010586,10
full_R4_k2_beNone,9508,0.09995970050565832,-0.46271182885735906,0.41438788388725284,6.642396577478684,3.086242372773995e-11,0.06035657534893917,9.838268709339689,0.0,6.035657534893917,0.3113075775828673,14.139987379049222,0.05784602440050484,0.4665544804375263,0.4751787968026925,8.325213375406577,10
full_R4_k2_be1.0,9508,0.10309732428492369,0.0,0.32625157761884727,7.900187639479445,2.6645352591003757e-15,0.06107776933251859,10.860450472503416,0.0,6.107776933251859,0.3113075775828673,12.282183424484645,0.04238535969709718,0.3242532604122844,0.37189734960033655,8.891936332445274,10
full_R4_k3_beNone,5917,0.11351795293816778,-0.10855125106730672,0.45850937975325334,4.669103232118879,3.0251734677300135e-06,0.05432076548382951,7.136941563870734,9.543477119677846e-13,5.432076548382951,0.36333716253400716,12.030927835051546,0.03650498563461214,0.3699509886766943,0.593037011999324,5.162601832602661,10
full_R4_k3_be1.0,5917,0.11553841031349077,0.0,0.3898935271252324,4.986088071903507,6.161406662652524e-07,0.05402275123071641,7.598280955483666,2.9976021664879227e-14,5.402275123071641,0.36333716253400716,10.989521717086362,0.027885752915328715,0.2817306067263816,0.5009295250971776,6.1604714682288195,10
full_R4_k5_beNone,1752,0.0852056491859157,0.029545256175258335,0.5154109589041096,3.6261309068685854,0.00028769954738017134,0.0566370801428361,4.253803463659945,2.1016978303922684e-05,5.6637080142836105,0.46388992792618655,8.945205479452055,0.01997716894977169,0.2363013698630137,0.742579908675799,3.3072659388426877,10
full_R4_k5_be1.0,1752,0.0773360346979702,0.0,0.4714611872146119,3.6838455299434423,0.00022974149677112976,0.05703706800058466,4.438333335352442,9.065814329023425e-06,5.703706800058466,0.46388992792618655,8.490296803652969,0.013127853881278538,0.19121004566210045,0.682648401826484,3.5044551644348383,10
