strategy,symbol,trades,exposure,full_ann_pct,oos_sharpe,oos_hold_sharpe,oos_sharpe_gap,is_excess_ann_pct,is_t,is_p,oos_excess_ann_pct,oos_t,oos_p,bonferroni_alpha,bonferroni_t_bar,beats_bonferroni,beats_fdr
RSI mean reversion,NVDA,14.0,0.11479713603818616,-48.257472678333016,0.2543303999041405,1.3108354985960402,-1.0565050986918996,-38.22140801770061,-3.4493464893693115,0.0005619451402316678,-63.33555070789723,-3.344956009781228,0.0008229562194463913,0.00014367816091954023,3.8017491435230113,False,False
Adaptive channel,NVDA,207.0,0.07589498806682578,-46.430634409132644,0.2658358779223505,1.3108354985960402,-1.0449996206736896,-34.3275326405727,-2.756519957105433,0.005842004755218344,-64.6142072573574,-3.3338429014054336,0.0008565502083284215,0.00014367816091954023,3.8017491435230113,False,False
Sell in May,NVDA,16.5,0.4909307875894988,-26.81874306559101,0.6625868834189642,1.3108354985960402,-0.648248615177076,-16.812681002880915,-1.8918352279849724,0.05851293800971913,-41.85174550747626,-3.197179779990224,0.001387784026316119,0.00014367816091954023,3.8017491435230113,False,False
Turn of month,NVDA,200.0,0.2863961813842482,-36.10016513047491,0.49097963394770266,1.3108354985960402,-0.8198558646483376,-23.479215527053217,-2.135133869546505,0.03275007675756014,-55.06174712127875,-3.1567171486929144,0.001595560361811188,0.00014367816091954023,3.8017491435230113,False,False
Ensemble vote,NVDA,216.5,0.5894988066825776,-27.08816166505377,0.6785445206362715,1.3108354985960402,-0.6322909779597687,-16.66605979129441,-1.7405892644431158,0.08175560078520316,-42.74621794492522,-3.030759393989014,0.0024393955186199356,0.00014367816091954023,3.8017491435230113,False,False
VWAP reversion,NVDA,120.0,0.2821002386634845,-32.884450997881096,0.6233938801966573,1.3108354985960402,-0.6874416183993829,-23.02929362060467,-2.3147745983322,0.02062527077425136,-47.69073582694332,-3.026123390563943,0.0024771119285000864,0.00014367816091954023,3.8017491435230113,False,False
Stochastic reversion,SPY,70.5,0.35536992840095466,-8.715144555389095,0.1573335505142109,0.8195964811093545,-0.6622629305951435,-5.214096382234444,-1.4115840615026303,0.15807246812368625,-13.975082521628012,-2.9545524953361544,0.003131228772276451,0.00014367816091954023,3.8017491435230113,False,False
Volatility-targeted trend,NVDA,38.502752353583965,0.3268072655061566,-32.24388962430772,1.405000995202022,1.3108354985960402,0.09416549660598172,-22.591252036259654,-2.209088169154775,0.02716850886192068,-46.74591085127361,-2.9347423922377334,0.0033382470596952096,0.00014367816091954023,3.8017491435230113,False,False
52-week high,NVDA,176.0,0.15441527446300715,-40.50916971893114,0.7171223313307027,1.3108354985960402,-0.5937131672653375,-30.09059911162592,-2.468492145159956,0.013568362988128246,-56.16192066120868,-2.9330424400891766,0.0033565800574173466,0.00014367816091954023,3.8017491435230113,False,False
Donchian breakout,GLD,70.5,0.4081145584725537,-5.175366978706371,0.27752291168768967,0.9492956056479085,-0.6717726939602189,0.47490503635098674,0.12423885055554602,0.9011261622195139,-13.664276248640213,-2.844565380412941,0.004447205796350495,0.00014367816091954023,3.8017491435230113,False,False
Turtle breakout,GLD,70.5,0.4081145584725537,-5.175366978706371,0.27752291168768967,0.9492956056479085,-0.6717726939602189,0.47490503635098674,0.12423885055554602,0.9011261622195139,-13.664276248640213,-2.844565380412941,0.004447205796350495,0.00014367816091954023,3.8017491435230113,False,False
Buy the dip,QQQ,80.5,0.3467780429594272,-9.35023456772516,0.3488568528461636,0.8819074032771961,-0.5330505504310326,-5.724586333589473,-1.554664282373533,0.1200260454055162,-14.7973703555694,-2.725670616775058,0.006417100113355723,0.00014367816091954023,3.8017491435230113,False,False
Walk-forward logistic,SPY,568.5,0.49140811455847255,-11.167780164199103,0.20350897612598567,0.8195964811093545,-0.6160875049833687,-9.760790043196483,-2.7916129948140247,0.005244604224387217,-13.28162732926576,-2.707088397935411,0.006787618114474148,0.00014367816091954023,3.8017491435230113,False,False
