strategy,pairs,median_oos,best_oos,beat_hold,median_sharpe_gap,beat_sharpe,median_exposure,median_trades,bonf,fdr
Buy and hold,3,0.00039516763957950566,0.0009251146666691182,0.6666666666666666,1.0261462061178506e-06,0.6666666666666666,1.0,0.0,0,0
Absolute momentum with trend filter,3,-4.124972970230621,2.150088158276056,0.3333333333333333,0.08184956781553067,0.6666666666666666,0.6749403341288783,45.5,0,0
Price vs moving average,3,-4.87335870622084,-2.390296256255097,0.0,-0.10590282448739063,0.3333333333333333,0.7384248210023866,39.5,0,0
Faber TAA,3,-5.010337281851565,-2.0209701490793606,0.0,-0.1122855849289196,0.3333333333333333,0.7400954653937948,40.5,0,0
Time-series momentum,3,-5.359444477210232,-0.05439432187618606,0.0,-0.1216542962296775,0.0,0.7847255369928401,36.5,0,0
Golden cross,3,-5.8751401558343135,3.6795421482878643,0.3333333333333333,-0.19220883751563445,0.3333333333333333,0.7386634844868735,7.5,0,0
Donchian breakout,3,-6.217723214875756,1.0192438751341077,0.3333333333333333,-0.02460087743208597,0.3333333333333333,0.49689737470167067,67.0,0,0
Turtle breakout,3,-6.217723214875756,1.0192438751341077,0.3333333333333333,-0.02460087743208597,0.3333333333333333,0.49689737470167067,67.0,0,0
Day of week,3,-6.558829720349308,-3.3922770362318095,0.0,0.49863963030457603,0.6666666666666666,0.18711217183770884,784.0,0,0
Volatility breakout,3,-6.599887374164183,2.283275642274722,0.3333333333333333,0.10606556252195364,0.6666666666666666,0.5073985680190931,130.0,0,0
Volatility-targeted trend,3,-6.7144539056776615,4.083081666345318,0.3333333333333333,0.013964258020466636,0.6666666666666666,0.5067752595279791,33.351126175743325,0,0
Buy the dip,3,-6.773238336586545,1.2696425480776055,0.3333333333333333,-0.08747764585004969,0.3333333333333333,0.25441527446300716,76.0,0,0
SMA crossover,3,-7.343411801129683,4.042904629900795,0.3333333333333333,-0.09900073847982593,0.3333333333333333,0.6412887828162291,40.5,0,0
Regime-filtered trend,3,-8.358304335388649,2.2502721622186566,0.3333333333333333,-0.11968110985634495,0.3333333333333333,0.5548926014319809,58.0,0,0
MACD trend,3,-9.722501706118727,1.3235205314922203,0.3333333333333333,0.03358029416746236,0.6666666666666666,0.5090692124105012,170.5,0,0
Ensemble vote,3,-10.065778256484744,0.8920751763683961,0.3333333333333333,-0.033982372949715955,0.0,0.5847255369928401,204.0,0,0
Bollinger reversion,3,-10.22106423181792,3.628375239920839,0.3333333333333333,-0.39681604709517637,0.3333333333333333,0.18687350835322195,73.0,0,0
Sell in May,3,-10.304774829064343,3.4013772812387626,0.3333333333333333,-0.4443350237419234,0.3333333333333333,0.4909307875894988,16.5,0,0
Z-score mean reversion,3,-10.706582476363206,3.0545691229194967,0.3333333333333333,-0.3505118284620685,0.3333333333333333,0.14343675417661098,80.0,0,0
Turn of month,3,-11.012057254476062,1.6166571181058051,0.3333333333333333,-0.29730507133441664,0.3333333333333333,0.2863961813842482,200.0,0,0
VWAP reversion,3,-11.181171186810456,3.464976226309459,0.3333333333333333,-0.4434477581225683,0.3333333333333333,0.13961813842482101,48.0,0,0
52-week high,3,-11.407608229189412,2.1575348728618726,0.3333333333333333,-0.18416031272007471,0.0,0.1918854415274463,131.0,0,0
ADX trend,3,-12.328953634870835,3.2661710067397163,0.3333333333333333,-0.13759408334818624,0.3333333333333333,0.20477326968973747,69.0,0,0
Walk-forward logistic,3,-13.28162732926576,4.591611965534331,0.3333333333333333,-0.6160875049833687,0.3333333333333333,0.33723150357995224,534.0,0,0
Trend strength gated,3,-13.702003048533468,3.8024640925276243,0.3333333333333333,-0.22560939069523966,0.3333333333333333,0.23937947494033412,56.0,0,0
Stochastic reversion,3,-13.975082521628012,0.13690942354066357,0.3333333333333333,-0.32470559694822,0.0,0.4002386634844869,75.5,0,0
Keltner breakout,3,-14.937693858662806,3.149687403244736,0.3333333333333333,-0.18664084880245113,0.3333333333333333,0.3620525059665871,67.0,0,0
RSI mean reversion,3,-14.967674679470932,1.2538305593766679,0.3333333333333333,-0.3449406492939804,0.0,0.13031026252983294,17.0,0,0
Adaptive channel,3,-18.48777601942966,0.4265855669192807,0.3333333333333333,-0.4969543159540447,0.0,0.08997613365155131,223.0,0,0
Gap fade,3,-19.55280525783151,5.905192145283754,0.3333333333333333,-0.8906479016729065,0.3333333333333333,0.10405727923627685,387.0,0,0
